Observation id,Boccia297M,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,D:/Mexico rebreathing videos/Boccia297.MP4,,,,,,,
,,,,,,,,
Observation date,2019-04-29 19:09:02,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
10.717,D:/Mexico rebreathing videos/Boccia297.MP4,69.740,23.98,Boccia 297M,start of trial,,,POINT
11.968,D:/Mexico rebreathing videos/Boccia297.MP4,69.740,23.98,Boccia 297M,exhale,,,START
13.635,D:/Mexico rebreathing videos/Boccia297.MP4,69.740,23.98,Boccia 297M,exhale,,,STOP
13.636,D:/Mexico rebreathing videos/Boccia297.MP4,69.740,23.98,Boccia 297M,bubble release,,,POINT
15.304,D:/Mexico rebreathing videos/Boccia297.MP4,69.740,23.98,Boccia 297M,exhale,,,START
19.122,D:/Mexico rebreathing videos/Boccia297.MP4,69.740,23.98,Boccia 297M,gular pump,,,POINT
62.415,D:/Mexico rebreathing videos/Boccia297.MP4,69.740,23.98,Boccia 297M,end of trial,,,POINT
62.415,D:/Mexico rebreathing videos/Boccia297.MP4,69.740,23.98,Boccia 297M,exhale,,,STOP
