Observation id,Boccia309M,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,Boccia309.MP4,,,,,,,
,,,,,,,,
Observation date,2019-05-01 01:53:52,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
24.374,Boccia309.MP4,188.980,23.98,Boccia 309M,start of trial,,,POINT
36.822,Boccia309.MP4,188.980,23.98,Boccia 309M,exhale,,,START
36.906,Boccia309.MP4,188.980,23.98,Boccia 309M,reinhale,,soh,POINT
182.029,Boccia309.MP4,188.980,23.98,Boccia 309M,end of trial,,,POINT
182.029,Boccia309.MP4,188.980,23.98,Boccia 309M,exhale,,,STOP
