Observation id,Boccia272M dunk,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,Boccia272 dunk.MP4,,,,,,,
,,,,,,,,
Observation date,2019-04-16 15:24:28,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
136.072,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
137.072,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
137.073,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
140.242,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
140.409,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
140.991,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
140.992,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
144.537,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
144.786,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
144.787,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,bubble release,,,POINT
150.749,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
156.746,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
156.922,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
157.505,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
157.506,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
161.676,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
161.760,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
162.259,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
162.260,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
168.520,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
174.270,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
174.270,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
174.853,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
174.854,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
183.194,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
183.194,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
184.027,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
184.028,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
197.790,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
197.957,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
198.456,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
198.457,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
205.963,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
206.046,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
206.047,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
214.887,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
214.929,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
214.929,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
215.304,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
215.345,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
215.346,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
222.227,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
222.310,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
222.644,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
232.485,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
232.569,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
233.068,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
233.069,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
238.324,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
238.324,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
239.073,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
239.074,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
241.845,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
245.596,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,chest out of view,,,STOP
245.596,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,end of trial,,,POINT
