Observation id,Boccia275,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,Boccia275.MP4,,,,,,,
,,,,,,,,
Observation date,2019-03-06 01:03:17,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
217.139,Boccia275.MP4,525.070,23.98,Boccia 275,reinhale,,toh,POINT
238.449,Boccia275.MP4,525.070,23.98,Boccia 275,exhale,,,START
238.824,Boccia275.MP4,525.070,23.98,Boccia 275,gular pump,,,POINT
239.866,Boccia275.MP4,525.070,23.98,Boccia 275,exhale,,,STOP
239.867,Boccia275.MP4,525.070,23.98,Boccia 275,reinhale,,toh,POINT
253.347,Boccia275.MP4,525.070,23.98,Boccia 275,gular pump,,,POINT
258.112,Boccia275.MP4,525.070,23.98,Boccia 275,exhale,,,START
268.361,Boccia275.MP4,525.070,23.98,Boccia 275,gular pump,,,POINT
269.361,Boccia275.MP4,525.070,23.98,Boccia 275,exhale,,,STOP
269.362,Boccia275.MP4,525.070,23.98,Boccia 275,reinhale,,toh,POINT
271.864,Boccia275.MP4,525.070,23.98,Boccia 275,exhale,,,START
276.363,Boccia275.MP4,525.070,23.98,Boccia 275,exhale,,,STOP
276.364,Boccia275.MP4,525.070,23.98,Boccia 275,reinhale,,toh,POINT
283.361,Boccia275.MP4,525.070,23.98,Boccia 275,gular pump,,,POINT
297.863,Boccia275.MP4,525.070,23.98,Boccia 275,gular pump,,,POINT
299.910,Boccia275.MP4,525.070,23.98,Boccia 275,exhale,,,START
302.905,Boccia275.MP4,525.070,23.98,Boccia 275,exhale,,,STOP
302.906,Boccia275.MP4,525.070,23.98,Boccia 275,reinhale,,toh,POINT
310.409,Boccia275.MP4,525.070,23.98,Boccia 275,gular pump,,,POINT
310.420,Boccia275.MP4,525.070,23.98,Boccia 275,exhale,,,START
310.924,Boccia275.MP4,525.070,23.98,Boccia 275,exhale,,,STOP
310.925,Boccia275.MP4,525.070,23.98,Boccia 275,reinhale,,toh,POINT
320.417,Boccia275.MP4,525.070,23.98,Boccia 275,gular pump,,,POINT
336.440,Boccia275.MP4,525.070,23.98,Boccia 275,exhale,,,START
336.919,Boccia275.MP4,525.070,23.98,Boccia 275,gular pump,,,POINT
337.446,Boccia275.MP4,525.070,23.98,Boccia 275,exhale,,,STOP
337.447,Boccia275.MP4,525.070,23.98,Boccia 275,reinhale,,toh,POINT
344.440,Boccia275.MP4,525.070,23.98,Boccia 275,gular pump,,,POINT
344.452,Boccia275.MP4,525.070,23.98,Boccia 275,exhale,,,START
345.202,Boccia275.MP4,525.070,23.98,Boccia 275,exhale,,,STOP
345.203,Boccia275.MP4,525.070,23.98,Boccia 275,reinhale,,toh,POINT
345.454,Boccia275.MP4,525.070,23.98,Boccia 275,chest,,,POINT
346.448,Boccia275.MP4,525.070,23.98,Boccia 275,exhale,,,START
349.452,Boccia275.MP4,525.070,23.98,Boccia 275,reinhale,,toh,POINT
350.457,Boccia275.MP4,525.070,23.98,Boccia 275,reinhale,,toh,POINT
362.452,Boccia275.MP4,525.070,23.98,Boccia 275,gular pump,,,POINT
363.452,Boccia275.MP4,525.070,23.98,Boccia 275,reinhale,,toh,POINT
373.948,Boccia275.MP4,525.070,23.98,Boccia 275,gular pump,,,POINT
374.948,Boccia275.MP4,525.070,23.98,Boccia 275,exhale,,,STOP
374.949,Boccia275.MP4,525.070,23.98,Boccia 275,reinhale,,toh,POINT
382.491,Boccia275.MP4,525.070,23.98,Boccia 275,exhale,,,START
391.989,Boccia275.MP4,525.070,23.98,Boccia 275,gular pump,,,POINT
393.487,Boccia275.MP4,525.070,23.98,Boccia 275,exhale,,,STOP
393.488,Boccia275.MP4,525.070,23.98,Boccia 275,reinhale,,toh,POINT
415.488,Boccia275.MP4,525.070,23.98,Boccia 275,gular pump,,,POINT
428.022,Boccia275.MP4,525.070,23.98,Boccia 275,gular pump,,,POINT
428.028,Boccia275.MP4,525.070,23.98,Boccia 275,exhale,,,START
429.026,Boccia275.MP4,525.070,23.98,Boccia 275,exhale,,,STOP
429.027,Boccia275.MP4,525.070,23.98,Boccia 275,reinhale,,toh,POINT
429.035,Boccia275.MP4,525.070,23.98,Boccia 275,chest,,,POINT
445.043,Boccia275.MP4,525.070,23.98,Boccia 275,gular pump,,,POINT
