Observation id,Boccia121 5,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,Boccia121 5.MP4,,,,,,,
,,,,,,,,
Observation date,2019-03-24 14:17:47,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
79.386,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,START
82.654,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,STOP
82.655,Boccia121 5.MP4,236.570,14.99,Boccia 121,reinhale,,toh,POINT
82.722,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,START
83.388,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,STOP
83.389,Boccia121 5.MP4,236.570,14.99,Boccia 121,reinhale,,toh,POINT
83.722,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,START
85.323,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,STOP
85.324,Boccia121 5.MP4,236.570,14.99,Boccia 121,reinhale,,toh,POINT
85.390,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,START
88.658,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,STOP
88.659,Boccia121 5.MP4,236.570,14.99,Boccia 121,reinhale,,toh,POINT
88.793,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,START
90.794,Boccia121 5.MP4,236.570,14.99,Boccia 121,reinhale,,toh,POINT
93.128,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,STOP
93.129,Boccia121 5.MP4,236.570,14.99,Boccia 121,reinhale,,toh,POINT
93.262,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,START
95.996,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,STOP
95.997,Boccia121 5.MP4,236.570,14.99,Boccia 121,reinhale,,toh,POINT
98.466,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,START
99.065,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,STOP
99.066,Boccia121 5.MP4,236.570,14.99,Boccia 121,reinhale,,toh,POINT
99.133,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,START
100.132,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,STOP
100.133,Boccia121 5.MP4,236.570,14.99,Boccia 121,reinhale,,toh,POINT
100.267,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,START
101.333,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,STOP
101.334,Boccia121 5.MP4,236.570,14.99,Boccia 121,reinhale,,toh,POINT
101.401,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,START
101.467,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,STOP
101.468,Boccia121 5.MP4,236.570,14.99,Boccia 121,reinhale,,toh,POINT
101.668,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,START
103.668,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,STOP
103.669,Boccia121 5.MP4,236.570,14.99,Boccia 121,reinhale,,toh,POINT
103.803,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,START
115.876,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,STOP
115.877,Boccia121 5.MP4,236.570,14.99,Boccia 121,reinhale,,toh,POINT
116.011,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,START
118.212,Boccia121 5.MP4,236.570,14.99,Boccia 121,reinhale,,toh,POINT
121.413,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,STOP
121.414,Boccia121 5.MP4,236.570,14.99,Boccia 121,reinhale,,toh,POINT
125.350,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,START
127.084,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,STOP
127.085,Boccia121 5.MP4,236.570,14.99,Boccia 121,reinhale,,toh,POINT
127.151,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,START
127.818,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,STOP
127.819,Boccia121 5.MP4,236.570,14.99,Boccia 121,reinhale,,toh,POINT
127.885,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,START
130.019,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,STOP
130.020,Boccia121 5.MP4,236.570,14.99,Boccia 121,reinhale,,toh,POINT
130.087,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,START
132.487,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,STOP
132.488,Boccia121 5.MP4,236.570,14.99,Boccia 121,reinhale,,toh,POINT
134.223,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,START
135.289,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,STOP
135.290,Boccia121 5.MP4,236.570,14.99,Boccia 121,reinhale,,toh,POINT
135.490,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,START
137.558,Boccia121 5.MP4,236.570,14.99,Boccia 121,reinhale,,toh,POINT
139.559,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,STOP
139.560,Boccia121 5.MP4,236.570,14.99,Boccia 121,reinhale,,toh,POINT
141.161,Boccia121 5.MP4,236.570,14.99,Boccia 121,exhale,,,START
144.229,Boccia121 5.MP4,236.570,14.99,Boccia 121,reinhale,,toh,POINT
