Observation id,Boccia263M 2,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,Boccia263.MP4,,,,,,,
,,,,,,,,
Observation date,2019-04-11 00:52:40,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
422.976,Boccia263.MP4,736.780,23.98,Boccia 263M,exhale,,,STOP
422.977,Boccia263.MP4,736.780,23.98,Boccia 263M,reinhale,,soh,POINT
423.019,Boccia263.MP4,736.780,23.98,Boccia 263M,exhale,,,START
427.940,Boccia263.MP4,736.780,23.98,Boccia 263M,gular pump,,,POINT
428.023,Boccia263.MP4,736.780,23.98,Boccia 263M,bubble release,,,POINT
428.064,Boccia263.MP4,736.780,23.98,Boccia 263M,exhale,,,STOP
428.065,Boccia263.MP4,736.780,23.98,Boccia 263M,reinhale,,lbn,POINT
442.530,Boccia263.MP4,736.780,23.98,Boccia 263M,gular pump,,,POINT
443.828,Boccia263.MP4,736.780,23.98,Boccia 263M,exhale,,,START
463.056,Boccia263.MP4,736.780,23.98,Boccia 263M,gular pump,,,POINT
463.562,Boccia263.MP4,736.780,23.98,Boccia 263M,exhale,,,STOP
463.563,Boccia263.MP4,736.780,23.98,Boccia 263M,reinhale,,soh,POINT
470.017,Boccia263.MP4,736.780,23.98,Boccia 263M,exhale,,,START
470.055,Boccia263.MP4,736.780,23.98,Boccia 263M,gular pump,,,POINT
470.516,Boccia263.MP4,736.780,23.98,Boccia 263M,exhale,,,STOP
470.517,Boccia263.MP4,736.780,23.98,Boccia 263M,reinhale,,soh,POINT
478.524,Boccia263.MP4,736.780,23.98,Boccia 263M,exhale,,,START
478.575,Boccia263.MP4,736.780,23.98,Boccia 263M,gular pump,,,POINT
488.589,Boccia263.MP4,736.780,23.98,Boccia 263M,exhale,,,STOP
488.590,Boccia263.MP4,736.780,23.98,Boccia 263M,reinhale,,soh,POINT
489.658,Boccia263.MP4,736.780,23.98,Boccia 263M,exhale,,,START
501.103,Boccia263.MP4,736.780,23.98,Boccia 263M,exhale,,,STOP
501.104,Boccia263.MP4,736.780,23.98,Boccia 263M,reinhale,,soh,POINT
505.088,Boccia263.MP4,736.780,23.98,Boccia 263M,gular pump,,,POINT
505.129,Boccia263.MP4,736.780,23.98,Boccia 263M,exhale,,,START
505.587,Boccia263.MP4,736.780,23.98,Boccia 263M,exhale,,,STOP
505.588,Boccia263.MP4,736.780,23.98,Boccia 263M,reinhale,,soh,POINT
513.094,Boccia263.MP4,736.780,23.98,Boccia 263M,exhale,,,START
513.094,Boccia263.MP4,736.780,23.98,Boccia 263M,gular pump,,,POINT
513.552,Boccia263.MP4,736.780,23.98,Boccia 263M,exhale,,,STOP
513.553,Boccia263.MP4,736.780,23.98,Boccia 263M,reinhale,,soh,POINT
514.262,Boccia263.MP4,736.780,23.98,Boccia 263M,exhale,,,START
521.371,Boccia263.MP4,736.780,23.98,Boccia 263M,end of trial,,,POINT
521.371,Boccia263.MP4,736.780,23.98,Boccia 263M,exhale,,,STOP
