Observation id,Boccia262 hide + dunk,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,Boccia262 hide + dunk.MP4,,,,,,,
,,,,,,,,
Observation date,2019-02-07 18:40:21,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
946.414,Boccia262 hide + dunk.MP4,1048.840,23.98,Boccia 262,exhale,,,START
954.808,Boccia262 hide + dunk.MP4,1048.840,23.98,Boccia 262,gular pump,,,POINT
969.810,Boccia262 hide + dunk.MP4,1048.840,23.98,Boccia 262,gular pump,,,POINT
978.806,Boccia262 hide + dunk.MP4,1048.840,23.98,Boccia 262,gular pump,,,POINT
991.307,Boccia262 hide + dunk.MP4,1048.840,23.98,Boccia 262,gular pump,,,POINT
999.806,Boccia262 hide + dunk.MP4,1048.840,23.98,Boccia 262,gular pump,,,POINT
1009.810,Boccia262 hide + dunk.MP4,1048.840,23.98,Boccia 262,gular pump,,,POINT
1018.368,Boccia262 hide + dunk.MP4,1048.840,23.98,Boccia 262,gular pump,,,POINT
1021.805,Boccia262 hide + dunk.MP4,1048.840,23.98,Boccia 262,exhale,,,STOP
1022.126,Boccia262 hide + dunk.MP4,1048.840,23.98,Boccia 262,end of trial,,,POINT
