Observation id,LARE DLM 10,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,,,,,,,
,,,,,,,,
Observation date,2019-09-18 01:36:19,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
68.924,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,start of trial,,,POINT
103.447,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
120.710,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,chest,,,POINT
120.710,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
121.946,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
134.743,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,chest,,,POINT
134.743,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
148.003,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,chest,,,POINT
148.003,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
166.502,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,chest,,,POINT
167.288,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
174.793,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,chest,,,POINT
174.793,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
188.293,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,chest,,,POINT
188.293,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
191.793,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
198.803,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
205.800,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
210.308,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
218.295,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,chest,,,POINT
218.295,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
226.859,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
235.852,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
239.850,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,chest,,,POINT
239.850,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
269.613,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,chest,,,POINT
269.613,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
270.851,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,START
270.933,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,STOP
270.934,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,bubble release,,,POINT
271.377,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,START
272.129,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,STOP
272.130,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,reinhale,,lbn,POINT
272.727,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
276.128,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
291.888,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,chest,,,POINT
291.888,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
292.577,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,START
292.743,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,STOP
292.744,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,bubble release,,,POINT
293.328,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,chest,,,POINT
293.328,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,START
293.869,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,STOP
293.870,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,bubble release,,,POINT
303.430,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,chest,,,POINT
303.430,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
303.837,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,START
303.919,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,STOP
303.920,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,reinhale,,lbn,POINT
308.944,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
309.660,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,bubble release,,,POINT
311.913,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,chest,,,POINT
311.913,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
312.665,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,START
312.666,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,STOP
312.666,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,reinhale,,lbn,POINT
324.919,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,chest,,,POINT
324.919,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
326.920,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,START
327.663,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,STOP
327.664,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,reinhale,,lbn,POINT
330.433,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,START
336.939,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,chest,,,POINT
336.939,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
337.439,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,STOP
337.440,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,reinhale,,lbn,POINT
350.691,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,chest,,,POINT
350.691,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
352.294,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,START
352.459,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,STOP
352.460,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,bubble release,,,POINT
357.488,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,chest,,,POINT
357.488,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
371.992,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,chest,,,POINT
371.992,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
372.226,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,START
372.227,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,bubble release,,,POINT
372.227,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,STOP
384.012,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,reinhale,,lbn,POINT
384.740,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,START
385.261,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,STOP
385.262,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,reinhale,,soh,POINT
391.027,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,chest,,,POINT
391.027,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
398.246,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,START
402.528,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,chest,,,POINT
402.528,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
402.768,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,bubble release,,,POINT
403.525,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,STOP
403.526,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,reinhale,,lbn,POINT
404.513,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,START
404.514,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,exhale,,,STOP
404.514,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,gular pump,,,POINT
404.514,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,reinhale,,lbn,POINT
409.038,E:/Jamaica diving videos/DCIM/100GOPRO/LARE DLM 10.MP4,416.120,23.98,LARE DLM 10,end of trial,,,POINT
