time,oxygen
0,203.172354
1,204.159312
2,205.146718
3,205.086064
4,205.811248
5,205.891524
6,206.415216
7,205.9724
8,206.697204
9,206.747944
10,207.311976
11,207.18104
12,206.687133
13,207.493272
14,208.399752
15,207.502884
16,208.258209
17,208.329248
18,208.429416
19,209.870264
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,206.203725
44,206.616636
45,207.261616
46,207.915795
47,207.120608
48,207.946008
49,208.26828
50,207.512955
51,208.097592
52,208.198312
53,208.600623
54,208.338777
55,208.57041
56,208.842327
57,209.305593
58,208.912824
59,208.137357
60,209.084031
61,208.228528
62,209.043747
63,210.011272
64,209.205512
65,210.18177
66,209.235096
67,209.417024
68,209.446587
69,209.547297
70,208.510544
71,210.211983
72,209.4768
73,210.101202
74,211.038616
75,210.211983
76,210.10192
77,210.765888
78,210.222054
79,209.819214
80,210.28174
81,210.524184
82,211.10912
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,208.117215
105,207.855369
106,208.661049
107,209.32509
108,209.114244
109,209.758788
110,209.67822
111,209.617794
112,210.131415
113,210.544326
114,210.695391
115,210.201912
116,210.201912
117,210.57377
118,210.504042
119,210.302622
120,210.453687
121,211.198941
122,210.866598
123,210.514872
124,211.894736
125,211.370148
126,210.564468
127,211.319793
128,211.178799
129,211.178799
130,211.722633
131,212.256396
132,212.054976
133,211.39029
134,211.873698
135,212.447745
136,212.377248
137,211.974408
138,212.135544
139,211.319793
140,212.749875
141,211.742775
142,212.337904
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,
161,
162,
163,209.416374
164,209.457312
165,209.164599
166,209.87964
167,209.849427
168,210.98745
169,210.564468
170,210.876669
171,211.521213
172,211.72175
173,211.833414
174,211.380219
175,211.984479
176,211.259367
177,210.947166
178,212.316822
179,211.974408
180,212.185899
181,211.984479
182,211.803201
183,211.954266
184,211.924952
185,212.19504
186,212.387319
187,211.652136
188,212.951295
189,212.951295
190,212.226183
191,212.880798
192,212.286609
193,212.689449
194,213.011721
195,212.840514
196,212.608881
197,212.709591
198,212.971437
199,213.414561
200,212.991579
201,213.10236
202,213.192999
203,
204,
205,
206,
207,
208,
209,
210,
211,
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,208.922895
224,210.08106
225,210.383936
226,210.817032
227,210.746528
228,210.947968
229,212.106248
230,211.279509
231,210.35372
232,211.863627
233,211.532144
234,211.481784
235,211.551426
236,210.464512
237,211.501928
238,211.360077
239,211.642936
240,212.014692
241,212.347035
242,211.532144
243,211.652136
244,212.186824
245,212.287544
246,212.650136
247,212.054976
248,211.541355
249,212.146536
250,212.256396
251,212.801216
252,213.042944
253,211.642936
254,213.20307
255,212.861648
256,214.139673
257,213.012728
258,214.251584
259,214.805544
260,215.571016
261,215.912169
262,219.16672
263,216.043092
264,
265,
266,
267,
268,
269,
270,
271,
272,
273,
274,
275,
276,
277,
278,
279,
280,
281,
282,188.759352
283,205.31772
284,204.189525
285,198.519552
286,182.466378
287,
288,202.668784
289,202.24576
290,202.699017
291,203.142168
292,202.054392
293,200.775456
294,202.306192
295,199.697859
296,199.033173
297,200.745243
298,201.379716
299,200.120568
300,201.097728
301,199.818408
302,
303,
304,188.920504
305,200.624168
306,200.61432
307,200.98676
308,200.83568
309,200.88604
310,200.845752
311,194.59104
312,200.251504
313,200.271648
314,199.949634
315,200.211216
316,185.971086
317,200.02992
318,199.264806
319,180.613314
320,199.264448
321,186.070128
322,198.690344
323,198.962288
324,198.851496
325,189.484536
326,198.77092
327,197.854866
328,198.196816
329,198.196816
330,198.26732
331,197.632784
332,197.189616
333,194.470176
334,197.441416
335,197.552736
336,197.038536
337,197.51192
338,196.565152
339,196.323424
340,197.210322
341,196.937816
342,197.471632
343,196.20256
344,196.646346
345,196.111912
346,196.323424
347,195.114784
348,195.588168
349,195.29608
350,195.688888
351,195.356512
352,195.367329
353,196.615512
354,194.883128
355,194.49032
356,194.33924
357,194.460104
358,194.258664
359,194.18816
360,193.886892
361,193.544478
362,194.127728
363,193.674488
364,193.755064
365,193.593912
366,193.302774
367,193.484052
368,193.111425
369,193.76604
370,192.96036
371,192.596784
372,192.637072
373,193.484052
374,191.92196
375,191.982392
376,191.92196
377,192.1234
378,191.24829
379,192.757936
380,191.156488
381,191.01548
382,190.743536
383,190.995336
384,191.067012
385,191.176632
386,190.996515
387,
388,216.336488
389,212.257328
