time,oxygen
0,203.969125
1,204.614565
2,205.179325
3,205.481875
4,206.29876
5,205.9357
6,206.732415
7,205.280175
8,206.76267
9,207.438365
10,206.48029
11,207.438365
12,207.115645
13,209.38477
14,208.507375
15,208.23508
16,210.05038
17,207.962785
18,208.830095
19,209.04188
20,208.608225
21,209.86885
22,209.939445
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,206.248335
43,204.94737
44,206.198184
45,206.873605
46,207.26692
47,207.99304
48,208.61831
49,209.233495
50,208.245165
51,208.90069
52,208.37627
53,208.265335
54,207.942615
55,208.497792
56,207.97287
57,210.847095
58,209.03235
59,210.030864
60,211.180668
61,211.109305
62,210.3731
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,206.37944
103,206.35927
104,207.841765
105,208.13423
106,208.709075
107,208.709075
108,209.354515
109,209.394855
110,208.79984
111,210.827658
112,209.254242
113,209.476134
114,209.394855
115,210.202326
116,209.94009
117,211.029378
118,210.676368
119,209.54613
120,210.201655
121,208.63848
122,211.291614
123,209.70749
124,209.94009
125,209.22341
126,209.698026
127,209.778085
128,210.656196
129,210.99912
130,211.50262
131,209.919275
132,210.605055
133,209.9697
134,210.927775
135,210.363015
136,211.432025
137,209.54613
138,211.48245
139,210.43361
140,210.41344
141,210.44439
142,211.66398
143,211.593385
144,211.866516
145,212.884265
146,211.089135
147,212.189268
148,210.524375
149,210.33276
150,210.5748
151,211.20007
152,210.73616
153,209.84868
154,210.463865
155,211.130238
156,209.686696
157,211.068965
158,209.63751
159,211.553045
160,211.715226
161,209.173554
162,209.46545
163,209.03235
164,210.111552
165,209.74783
166,210.19157
167,210.303186
168,210.353616
169,210.120975
170,208.921404
171,210.535164
172,209.546736
173,209.72766
174,209.566908
175,210.404046
176,209.203812
177,209.667768
178,211.46228
179,215.204982
180,212.048064
181,212.501934
182,211.725312
183,211.553045
184,212.10858
185,214.297242
186,213.056664
187,212.702735
188,212.935632
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,
202,
203,
204,
205,
206,
207,
208,203.848146
209,204.44322
210,201.397248
211,204.130619
212,202.809288
213,201.447678
214,201.790435
215,201.538452
216,198.582769
217,196.918414
218,
219,
220,
221,
222,
223,
224,
225,192.904836
226,191.946666
227,193.1469
228,187.690374
229,
230,199.833557
231,194.669013
232,200.45925
233,202.022436
234,197.655342
235,195.809604
236,198.310932
237,194.740488
238,193.883178
239,193.863006
240,195.930636
241,
242,192.178644
243,186.095063
244,
245,194.115156
246,197.867148
247,193.439394
248,197.201472
249,198.764335
250,198.260502
251,198.109212
252,197.63517
253,196.061754
254,197.725944
255,195.547368
256,193.187244
257,196.394592
258,194.135328
259,194.96238
260,
261,
262,
263,
264,
265,
266,
267,
268,
269,
270,
271,
272,
273,
274,
275,
276,
277,
278,
279,
280,
281,
282,
283,
284,
285,
286,
287,
288,
289,
290,
291,
292,
293,
294,
295,
296,
297,
298,
299,
300,177.140418
301,176.90844
302,176.817666
303,179.5308
304,178.398682
305,180.478884
306,177.382482
307,175.04253
308,180.256992
309,179.0265
310,148.657554
311,179.540886
312,178.330566
313,178.643232
314,178.380996
315,175.402843
316,159.883272
317,
318,
319,
320,
321,
322,
323,
324,
325,
326,
327,
328,
329,
330,
331,
332,
333,175.809066
334,171.633462
335,168.9405
336,170.10039
337,171.522516
338,168.668178
339,168.456372
340,164.230338
341,171.172705
342,174.951756
343,166.87287
344,173.569974
345,172.9749
346,172.42017
347,168.970758
348,172.55435
349,168.204222
350,171.189678
351,171.956214
352,171.91587
353,169.263252
354,169.505316
355,171.875526
356,168.123534
357,166.701408
358,169.723862
359,170.04996
360,170.20125
361,157.634094
362,164.882102
363,
364,
365,
366,168.920328
367,162.269569
368,161.819784
369,167.346912
370,167.649492
371,166.960024
372,157.64418
373,167.003988
374,160.004304
375,162.102192
376,160.534605
377,160.044648
378,166.26771
379,161.12385
380,161.769354
381,165.501174
382,161.295312
383,163.04019
384,164.488709
385,
386,156.191796
387,164.196186
388,158.269512
389,164.018532
390,159.126822
391,163.413372
392,162.979674
393,161.698752
394,160.448088
395,160.780926
396,152.066622
397,158.874672
398,161.07342
399,161.517204
400,160.881786
401,160.06482
402,159.288198
403,
404,160.962474
405,153.024792
406,160.629636
407,159.756485
408,150.98742
409,
410,
411,
412,
413,
414,
415,
416,149.060994
417,147.386718
418,150.957162
419,
420,
421,152.570922
422,150.805872
423,149.151768
424,151.663182
425,154.033392
426,148.884855
427,146.767005
428,148.18899
429,148.748328
430,153.872016
431,148.66764
432,153.3072
433,147.094224
434,
435,147.376632
436,149.817444
437,147.931362
438,151.653096
439,146.912676
440,152.540664
441,152.127138
442,152.36418
443,149.605638
444,151.23957
445,151.6784
446,149.207575
447,
448,
449,
450,
451,
452,
453,
454,
455,
456,
457,
458,
459,
460,148.67307
461,144.366775
462,146.141735
463,
464,
465,
466,
467,
468,210.151896
469,212.05815
470,212.743998
