Time (s),Oxygen(hPa),crit val
1,158.275,32
2,156.359,137
3,156.923,
4,156.69,
5,153.962,
6,152.729,
7,161.065,
8,153.331,
9,149.047,
10,152.783,
11,155.5,
12,153.562,
13,156.002,
14,160.182,
15,159.707,
16,154.274,
17,151.722,
18,157.963,
19,154.172,
20,155.542,
21,153.166,
22,159.614,
23,152.879,
24,158.291,
25,152.535,
26,164.605,
27,158.752,
28,156.715,
29,157.43,
30,161.663,
31,161.308,
32,,
33,,
34,,
35,136.91,
36,,
37,151.109,
38,154.484,
39,,
40,157.307,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,148.424,
49,147.774,
50,144.262,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,134.58,
73,136.889,
74,135.963,
75,135.371,
76,135.54,
77,133.486,
78,135.531,
79,134.819,
80,136.558,
81,,
82,,
83,,
84,130.869,
85,,
86,,
87,,
88,,
89,132.609,
90,132.279,
91,133.504,
92,133.938,
93,133.924,
94,130.898,
95,133.037,
96,134.064,
97,132.864,
98,133.876,
99,133.041,
100,131.954,
101,,
102,,
103,126.07,
104,,
105,,
106,,
107,,
108,117.14,
109,,
110,120.01,
111,120.397,
112,122.411,
113,121.327,
114,,
115,,
116,122.412,
117,,
118,,
119,,
120,,
121,123.147,
122,121.079,
123,,
124,,
125,119.775,
126,118.976,
127,118.41,
128,118.044,
129,118.847,
130,117.33,
131,117.893,
132,119.74,
133,119.594,
134,,
135,114.411,
136,,
137,,
138,158.059,
139,156.404,
140,151.024,
141,157.65,
142,160.59,
143,159.638,
144,162.086,
145,158.737,
146,163.074,
147,164.067,
148,161.035,
149,160.806,
150,168.451,
151,161.993,
152,165.399,
153,160.335,
154,160.643,
155,161.039,
156,162.986,
157,158.211,
158,160.356,
159,160.199,
160,158.806,
161,157.475,
162,158.566,
163,156.131,
164,161.242,
165,162.142,
166,161.179,
167,163.374,
168,165.856,
169,167.491,
170,166.827,
171,166.867,
172,164.704,
173,168.205,
174,168.296,
175,169.072,
176,169.073,
177,163.753,
178,167.999,
179,165.992,
180,163.497,
181,165.339,
182,168.222,
183,165.626,
184,164.697,
185,168.149,
186,165.684,
187,164.215,
188,169.07,
189,165.981,
190,164.649,
191,166.647,
192,165.076,
193,167.168,
194,168.724,
195,163.129,
196,166.59,
197,162.914,
198,163.977,
199,164.391,
200,166.362,
201,163.469,
202,169.88,
203,163.148,
204,167.608,
205,169.091,
206,168.353,
207,160.74,
208,164.444,
209,166.311,
210,164.926,
211,166.093,
212,169.067,
213,164.59,
214,163.976,
215,166.988,
216,166.037,
217,167.964,
218,166.951,
219,165.352,
