Time (s),Oxygen(hPa),crit val
1,153.514,72
2,156.347,281
3,151.89,
4,156.616,
5,156.984,
6,154.836,
7,156.723,
8,157.966,
9,158.248,
10,155.277,
11,154.047,
12,155.064,
13,155.791,
14,157.092,
15,157.169,
16,160.817,
17,157.75,
18,158.181,
19,157.007,
20,155.962,
21,157.146,
22,157.216,
23,156.307,
24,158.771,
25,158.412,
26,158.932,
27,159.278,
28,157.204,
29,159.08,
30,157.58,
31,157.456,
32,156.997,
33,156.722,
34,159.502,
35,161.842,
36,159.29,
37,158.828,
38,157.831,
39,159.442,
40,160.893,
41,159.647,
42,158.45,
43,160.573,
44,160.542,
45,159.901,
46,159.854,
47,159.315,
48,161.703,
49,160.074,
50,157.019,
51,161.192,
52,160.961,
53,155.629,
54,157.34,
55,156.966,
56,163.163,
57,158.764,
58,155.756,
59,159.777,
60,157.395,
61,160.838,
62,159.734,
63,159.183,
64,158.1,
65,161.601,
66,159.07,
67,161.628,
68,160.396,
69,161.478,
70,159.733,
71,156.362,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,155.299,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,112.461,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,93.804,
170,,
171,86.036,
172,82.469,
173,81.413,
174,93.169,
175,88.106,
176,83.663,
177,91.082,
178,80.761,
179,95.868,
180,105.353,
181,83.036,
182,93.408,
183,89.712,
184,79.815,
185,78.86,
186,78.423,
187,85.37,
188,98.433,
189,82.088,
190,79.515,
191,81.76,
192,74.712,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,69.554,
209,67.972,
210,70.76,
211,71.988,
212,88.789,
213,96.639,
214,73.983,
215,,
216,,
217,77.078,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,78.781,
230,,
231,,
232,,
233,66.632,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,93.532,
243,65.627,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,57.951,
252,60.688,
253,57.076,
254,55.446,
255,61.712,
256,65.351,
257,57.222,
258,57.382,
259,59.059,
260,68.406,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,50.538,
277,72.309,
278,92.678,
279,,
280,,
281,,
282,143.042,
283,151.044,
284,151.944,
285,152.375,
286,152.28,
287,157.006,
288,151.802,
289,155.813,
290,154.105,
291,157.64,
292,153.529,
293,154.845,
294,158.946,
295,151.351,
296,152.478,
297,155.906,
298,155.378,
299,154.724,
300,156.914,
301,154.739,
302,153.329,
303,151.923,
304,156.613,
305,155.148,
306,158.184,
307,153.062,
308,156.117,
309,154.368,
310,152.94,
311,155.699,
312,159.047,
313,157.706,
314,157.558,
315,155.993,
316,157.285,
317,154.347,
318,152.419,
319,153.703,
320,156.069,
321,157.21,
322,150.813,
323,155.245,
324,155.585,
325,151.445,
326,155.338,
327,153.114,
328,152.764,
329,154.202,
330,157.791,
331,156.954,
332,158.048,
333,160.617,
334,158.897,
335,160.708,
336,159.494,
337,159.82,
338,158.911,
339,154.388,
340,157.664,
341,155.174,
342,156.679,
343,155.176,
344,158.106,
345,155.53,
346,154.967,
347,157.642,
348,159.171,
349,154.839,
350,155.997,
351,158.49,
352,155.847,
353,156.014,
354,160.113,
355,159.222,
356,158.65,
357,154.381,
358,156.466,
359,160.119,
360,154.855,
361,160.426,
362,159.879,
363,156.391,
364,158.224,
365,155.649,
366,158.435,
367,155.385,
368,158.905,
369,152.224,
370,153.151,
371,157.605,
372,155.812,
