Time (s),Oxygen(hPa),crit val
0,153.527,28
1,157.556,264
2,156.141,
3,154.791,
4,157.471,
5,159.858,
6,159.532,
7,155.768,
8,154.243,
9,160.145,
10,153.702,
11,156.164,
12,155.4,
13,157.505,
14,157.285,
15,157.825,
16,156.974,
17,154.283,
18,157.814,
19,160.157,
20,158.473,
21,155.913,
22,157.064,
23,156.144,
24,159.578,
25,157.123,
26,157.02,
27,156.656,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,149.929,
118,152.106,
119,157.865,
120,155.063,
121,156.703,
122,155.076,
123,156.532,
124,160.185,
125,159.688,
126,158.495,
127,155.714,
128,157.803,
129,159.947,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,123.744,
153,129.261,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,113.958,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,108.321,
194,,
195,,
196,,
197,110.683,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,102.327,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,97.797,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,95.212,
242,,
243,,
244,,
245,,
246,,
247,92.018,
248,,
249,84.165,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,158.533,
266,,
267,152.451,
268,155.182,
269,154.22,
270,158.068,
271,156.803,
272,156.468,
273,154.987,
274,156.871,
275,159.183,
276,158.89,
277,157.67,
278,161.136,
279,162.523,
280,160.291,
281,159.805,
282,160.861,
283,158.755,
284,160.6,
285,161.584,
286,163.569,
287,160.423,
288,159.496,
289,158.361,
290,160.875,
291,161.841,
292,158.342,
293,164.57,
294,164.494,
295,162.346,
296,158.783,
297,161.915,
298,160.739,
299,160.803,
300,164.374,
301,159.573,
302,159.902,
303,162.831,
304,158.711,
305,161.153,
306,159.518,
307,161.372,
308,158.173,
309,160.108,
310,160.885,
311,161.764,
312,159.763,
313,161.462,
314,160.365,
315,160.232,
316,158.392,
317,158.966,
318,159.307,
319,160.004,
320,160.214,
321,161.309,
322,163.143,
323,159.683,
324,161.336,
325,161.076,
326,161.755,
327,162.482,
328,159.207,
329,159.912,
330,161.545,
331,161.701,
332,159.32,
333,160.759,
334,160.632,
335,158.951,
336,162.807,
337,161.069,
338,160.725,
339,160.745,
340,163.058,
341,160.698,
342,160.177,
343,162.335,
344,159.433,
345,157.17,
346,160.618,
347,159.983,
348,159.191,
349,159.276,
350,160.917,
351,159.864,
352,158.325,
353,160.355,
354,161.187,
355,161.189,
356,161.626,
357,164.108,
358,160.205,
359,159.003,
360,162.29,
361,161.671,
362,160.902,
363,160.925,
364,161.6,
365,160.615,
366,163.265,
367,162.842,
368,158.938,
369,161.309,
370,161.628,
371,158.624,
372,161.465,
373,161.721,
374,159.426,
375,158.79,
376,159.221,
377,160.837,
378,159.64,
379,162.505,
380,160.537,
381,157.766,
382,162.795,
383,161.391,
384,158.804,
385,159.138,
386,160.095,
387,159.855,
388,159.684,
389,162.135,
390,162.542,
391,159.06,
392,157.13,
393,158.012,
394,161.514,
395,160.516,
396,158.832,
397,161.042,
398,160.302,
399,161.768,
400,162.158,
401,160.823,
402,159.597,
403,160.506,
404,161.417,
405,160.394,
406,160.173,
407,160.828,
408,162.177,
409,161.978,
410,163.736,
411,160.672,
412,160.85,
413,160.368,
414,160.698,
415,161.172,
416,158.004,
417,159.107,
418,160.182,
419,160.879,
420,161.886,
421,160.431,
422,158.294,
423,159.913,
424,161.387,
425,161.393,
426,157.917,
427,159.942,
428,158.747,
429,163.978,
430,160.998,
431,160.628,
432,160.123,
433,163.764,
434,159.56,
435,157.257,
436,160.533,
