Time (s),Oxygen(hPa),crit val
1,143.869,26
2,145.245,162
3,147.522,
4,144.204,
5,142.467,
6,,
7,144.669,
8,144.787,
9,146.993,
10,148.606,
11,147.608,
12,146.923,
13,149.26,
14,150.886,
15,146.704,
16,152.703,
17,152.271,
18,,
19,149.528,
20,149.557,
21,,
22,,
23,134.583,
24,,
25,151.579,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,125.516,
48,127.304,
49,,
50,126.347,
51,,
52,,
53,,
54,124.991,
55,128.682,
56,130.625,
57,126.092,
58,122.489,
59,,
60,,
61,,
62,,
63,128.804,
64,128.782,
65,124.931,
66,129.622,
67,130.008,
68,,
69,,
70,,
71,119.244,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,115.42,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,108.263,
134,,
135,,
136,,
137,,
138,109.08,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,103.895,
159,,
160,,
161,,
162,,
163,156.286,
164,156.365,
165,157.427,
166,158.57,
167,158.811,
168,159.194,
169,159.342,
170,158.599,
171,158.206,
172,156.21,
173,161.214,
174,160.496,
175,163.297,
176,155.404,
177,160.585,
178,157.209,
179,159.899,
180,157.266,
181,155.012,
182,160.88,
183,159.813,
184,162.666,
185,159.726,
186,161.424,
187,167.167,
188,,
189,161.333,
190,160.948,
191,157.946,
192,158.158,
193,159.692,
194,160.232,
195,162.324,
196,154.944,
197,155.421,
198,155.267,
199,154.974,
200,153.243,
201,151.754,
202,158.645,
203,158.725,
204,154.166,
205,157.534,
206,145.698,
207,150.773,
208,159.279,
209,150.985,
210,151.581,
211,159.781,
212,151.977,
213,152.67,
214,147.273,
215,162.231,
216,150.807,
217,154.768,
218,163.428,
219,159.411,
220,160.787,
221,158.034,
222,159.471,
223,157.208,
224,149.656,
225,162.267,
226,156.204,
227,155.719,
228,161.139,
229,148.458,
230,168.142,
231,163.043,
232,158.3,
233,153.869,
234,163.555,
235,156.958,
236,150.929,
237,153.376,
238,152.697,
239,161.158,
240,153.148,
