Time (s),Oxygen(hPa),crit val
1,156.893,142
2,159.103,244
3,155.748,
4,155.419,
5,155.35,
6,157.044,
7,159.193,
8,159.189,
9,159.462,
10,159.763,
11,157.05,
12,158.682,
13,162.306,
14,156.991,
15,160.301,
16,158.437,
17,156.959,
18,160.327,
19,161.595,
20,160.939,
21,161.936,
22,161.156,
23,160.27,
24,159.686,
25,157.543,
26,157.545,
27,160.418,
28,161.798,
29,158.872,
30,161.234,
31,159.654,
32,163.277,
33,158.46,
34,159.47,
35,158.134,
36,163.33,
37,160.613,
38,163.378,
39,159.476,
40,166.364,
41,161.848,
42,159.865,
43,160.696,
44,164.612,
45,162.65,
46,158.566,
47,159.457,
48,158.88,
49,158.949,
50,162.513,
51,161.756,
52,162.502,
53,161.002,
54,158.431,
55,162.401,
56,162.124,
57,161.814,
58,163.107,
59,162.577,
60,165.051,
61,161.386,
62,162.838,
63,163.108,
64,159.615,
65,163.579,
66,163,
67,163.666,
68,162.067,
69,162.457,
70,162.498,
71,165.018,
72,163.375,
73,165.272,
74,161.305,
75,159.457,
76,164.587,
77,164.155,
78,163.405,
79,165.356,
80,164.501,
81,163.073,
82,166.138,
83,162.665,
84,161.489,
85,166.035,
86,162.683,
87,162.759,
88,163.218,
89,161.741,
90,162.113,
91,161.664,
92,159.996,
93,161.096,
94,163.395,
95,164.868,
96,163.994,
97,163.222,
98,166.166,
99,162.395,
100,166.471,
101,161.478,
102,162.479,
103,162.583,
104,163.372,
105,162.296,
106,162.36,
107,165.038,
108,163.865,
109,165.053,
110,162.713,
111,162.883,
112,160.614,
113,161.02,
114,161.088,
115,163.52,
116,158.892,
117,162.362,
118,161.326,
119,162.247,
120,161.056,
121,158.918,
122,159.715,
123,159.258,
124,163.139,
125,161.32,
126,157.951,
127,160.641,
128,163.524,
129,164.019,
130,162.979,
131,160.852,
132,164.826,
133,161.925,
134,165.389,
135,162.492,
136,158.971,
137,160.754,
138,158.606,
139,157.733,
140,155.76,
141,157.473,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,135.866,
151,135.623,
152,149.559,
153,152.293,
154,149.66,
155,147.69,
156,150.14,
157,,
158,,
159,132.643,
160,,
161,123.225,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,148.849,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,120.969,
181,135.026,
182,136.85,
183,134.553,
184,130.001,
185,134.755,
186,135.612,
187,,
188,133.264,
189,,
190,131.888,
191,130.803,
192,134.509,
193,132.555,
194,133.951,
195,135.432,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,112.455,
209,120.47,
210,121.562,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,154.212,
246,155.25,
247,157.209,
248,157.784,
249,156.978,
250,155.884,
251,154.899,
252,160.412,
253,149.493,
254,,
255,,
256,155.352,
257,157.273,
258,158.625,
259,154.89,
260,153.29,
261,,
262,,
263,150.422,
264,156.153,
265,154.668,
266,157.355,
267,145.008,
