Time (s),Oxygen(hPa),crit val
1,164.604,48
2,163.574,288
3,162.834,
4,159.042,
5,160.855,
6,162.757,
7,157.022,
8,160.592,
9,163.269,
10,161.61,
11,164.367,
12,163.158,
13,164.304,
14,163.82,
15,165.987,
16,162.553,
17,158.515,
18,162.854,
19,168.032,
20,162.153,
21,165.141,
22,159.574,
23,165.234,
24,163.128,
25,163.441,
26,160.317,
27,162.757,
28,162.803,
29,159.792,
30,162.558,
31,162.824,
32,159.132,
33,167.405,
34,164.093,
35,163.825,
36,167.646,
37,165.579,
38,162.829,
39,163.971,
40,159.56,
41,159.95,
42,162.909,
43,160.583,
44,164.046,
45,161.919,
46,163.941,
47,164.75,
48,,
49,,
50,,
51,,
52,156.162,
53,158.5,
54,,
55,160.797,
56,155.586,
57,,
58,158.488,
59,152.449,
60,,
61,,
62,155.188,
63,156.607,
64,154.977,
65,157.651,
66,149.599,
67,159.458,
68,152.489,
69,155.591,
70,,
71,147.656,
72,153.413,
73,139.471,
74,154.246,
75,156.146,
76,,
77,,
78,,
79,,
80,153.68,
81,,
82,153.441,
83,155.223,
84,148.102,
85,149.063,
86,150.791,
87,148.147,
88,148.571,
89,,
90,147.8,
91,149.894,
92,145.067,
93,147.251,
94,154.279,
95,148.198,
96,146.718,
97,146.34,
98,146.895,
99,147.133,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,139.015,
120,136.337,
121,137.612,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,133.846,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,130.178,
143,129.227,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,122.822,
155,,
156,,
157,122.85,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,120.914,
174,118.889,
175,118.165,
176,120.736,
177,118.77,
178,120.204,
179,120.019,
180,119.511,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,110.944,
209,113.441,
210,,
211,113.921,
212,110.616,
213,112.967,
214,,
215,,
216,110.666,
217,,
218,,
219,,
220,110.635,
221,,
222,,
223,105.232,
224,,
225,103.66,
226,106.233,
227,107.85,
228,109.082,
229,107.684,
230,,
231,102.627,
232,102.684,
233,104.154,
234,104.605,
235,104.354,
236,104.106,
237,103.937,
238,106.497,
239,104.579,
240,106.84,
241,105.629,
242,105.032,
243,105.206,
244,107.062,
245,104.817,
246,107.108,
247,,
248,102.746,
249,,
250,103.581,
251,105.153,
252,103.753,
253,,
254,103.66,
255,103.524,
256,104.265,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,95.66,
268,97.022,
269,97.323,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,95.4,
279,100.238,
280,90.874,
281,94.641,
282,91.457,
283,,
284,,
285,,
286,,
287,,
288,,
289,159.94,
290,161.42,
291,166.444,
292,163.234,
293,165.35,
294,164.108,
295,166.338,
296,166.546,
297,164.536,
298,,
299,165.878,
300,166.948,
301,164.291,
302,163.142,
303,160.501,
304,165.184,
305,171.559,
306,165.741,
307,165.206,
308,164.557,
309,162.887,
310,169.711,
311,160.662,
312,163.021,
313,160.385,
314,160.53,
315,156.46,
316,169.134,
317,159.019,
318,158.7,
319,162.706,
320,162.993,
321,153.599,
322,155.531,
323,166.669,
324,162.476,
325,164.651,
326,160.741,
327,159.661,
328,158.322,
329,164.76,
330,169.013,
331,166.845,
332,170.401,
333,156.225,
334,165.739,
335,154.489,
336,164.987,
337,163.993,
338,166.785,
339,163.89,
340,166.235,
341,161.875,
342,164.88,
343,163.26,
344,152.418,
345,164.22,
346,163.296,
347,167.911,
348,156.263,
349,164.081,
350,164.591,
351,159.927,
352,158.493,
353,166.714,
354,160.366,
355,162.705,
356,163.366,
357,161.643,
358,159.496,
359,159.234,
360,168.872,
361,161.455,
362,165.26,
363,165.705,
364,166.865,
365,164.895,
366,162.752,
367,160.032,
368,165.429,
369,165.069,
370,162.08,
371,163.665,
372,166.248,
373,156.894,
374,161.97,
375,159.508,
376,161.98,
377,166.627,
378,166.261,
379,163.245,
380,157.291,
381,164.95,
382,155.332,
383,164.797,
384,161.289,
385,169.015,
386,166.944,
387,165.219,
388,164.591,
389,161.92,
390,163.568,
391,157.879,
392,157.143,
393,162.979,
394,162.87,
395,161.118,
396,163.563,
397,161.947,
398,156.91,
399,168.956,
400,164.022,
401,160.935,
402,161.161,
403,167.966,
404,159.927,
405,160.463,
406,165.602,
407,164.938,
408,160.71,
409,163.942,
410,155.262,
411,153.745,
412,159.043,
413,166.887,
414,159.185,
415,158.975,
416,158.042,
417,164.327,
418,161.883,
419,167.496,
420,164.824,
421,166.725,
422,161.73,
423,160.397,
424,164.618,
425,160.797,
426,151.603,
427,166.539,
428,160.046,
429,165.061,
430,156.433,
431,161.14,
432,157.679,
433,165.718,
434,163.839,
435,163.896,
436,171.398,
437,163.813,
438,166.181,
439,169.157,
440,162.055,
441,161.474,
442,163.056,
443,171.703,
444,161.804,
445,163.546,
446,157.099,
447,158.752,
448,167.089,
449,162.467,
450,166.824,
451,171.714,
452,158.044,
453,170.077,
454,158.055,
455,159.873,
456,159.418,
457,162.544,
458,158.563,
459,162.008,
460,159.715,
461,163.818,
462,162.562,
463,161.224,
464,157.365,
465,158.977,
466,152.313,
467,168.145,
468,165.7,
469,161.057,
470,155.303,
471,158.486,
472,157.59,
473,160.874,
474,156.672,
475,160.937,
476,163.073,
477,158.977,
478,152.694,
479,172.818,
480,160.62,
481,158.375,
482,158.548,
483,158.655,
484,158.643,
485,165.671,
486,166.865,
487,156.739,
488,165.198,
489,160.247,
490,161.293,
491,161.637,
492,157.017,
493,157.244,
494,159.943,
495,163.059,
496,157.484,
497,162.943,
498,152.486,
499,166.088,
500,162.535,
501,158.492,
502,160.512,
503,169.373,
504,155.615,
505,158.975,
506,164.41,
507,162.198,
508,165.855,
509,161.584,
510,157.508,
511,157.017,
512,158.763,
513,154.97,
514,155.533,
515,158.343,
516,164.387,
517,150.752,
518,163.718,
519,154.189,
520,163.209,
521,165.836,
522,163.149,
523,162.109,
524,162.809,
525,152.443,
526,164.963,
527,154.616,
528,161.927,
529,161.278,
530,158.292,
531,162.901,
532,158.593,
533,156.91,
534,165.087,
535,160.515,
536,161.674,
537,154.857,
538,162.818,
539,159.672,
540,162.18,
541,154.088,
542,161.126,
543,168.373,
544,153.613,
545,153.513,
546,164.183,
547,154.736,
548,155.084,
549,155.386,
550,157.376,
551,160.043,
552,159.643,
553,161.189,
554,157.651,
555,165.839,
556,159.43,
557,158.474,
