Time (s),Oxygen(hPa),crit val
1,145.595,68
2,141.979,301
3,140.791,
4,144.655,
5,144.201,
6,142.438,
7,141.395,
8,142.951,
9,143.472,
10,142.667,
11,147.556,
12,147.06,
13,142.7,
14,145.332,
15,145.804,
16,140.88,
17,143.818,
18,144.659,
19,149.132,
20,143.709,
21,144.774,
22,148.656,
23,148.74,
24,145.605,
25,146.721,
26,146.575,
27,145.966,
28,148.232,
29,150.122,
30,149.37,
31,147.361,
32,149.504,
33,144.374,
34,149.304,
35,147.061,
36,148.514,
37,147.86,
38,150.799,
39,147.003,
40,150.542,
41,146.454,
42,149.052,
43,149.306,
44,149.038,
45,151.702,
46,148.166,
47,148.145,
48,151.905,
49,149.767,
50,151.177,
51,152.528,
52,155.612,
53,150.249,
54,153.169,
55,151.037,
56,152.389,
57,150.985,
58,153.583,
59,151.143,
60,149.975,
61,152.404,
62,153.201,
63,152.693,
64,155.535,
65,151.36,
66,157.075,
67,156.977,
68,,
69,,
70,,
71,,
72,,
73,145.077,
74,,
75,,
76,,
77,138.896,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,130.923,
88,132.781,
89,132.723,
90,133.507,
91,,
92,130.605,
93,129.111,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,123.383,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,114.716,
130,112.536,
131,112.908,
132,,
133,,
134,,
135,114.405,
136,116.938,
137,,
138,110.408,
139,111.075,
140,110.889,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,109.729,
170,98.832,
171,101.61,
172,,
173,,
174,103.883,
175,,
176,,
177,91.098,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,91.726,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,103.27,
201,,
202,,
203,,
204,,
205,99.89,
206,,
207,91.522,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,79.637,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,87.978,
252,,
253,72.833,
254,,
255,,
256,71.076,
257,,
258,,
259,,
260,,
261,,
262,73.013,
263,84.858,
264,69.122,
265,69.833,
266,69.984,
267,70.772,
268,70.549,
269,81.09,
270,79.407,
271,82.562,
272,67.829,
273,85.584,
274,68.842,
275,86.418,
276,,
277,66.088,
278,90.689,
279,65.242,
280,71.651,
281,,
282,,
283,,
284,,
285,90.63,
286,,
287,,
288,77.26,
289,75.032,
290,,
291,71.999,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,148.651,
302,,
303,151.436,
304,149.577,
305,152.544,
306,153.412,
307,154.534,
308,159.098,
309,156.414,
310,156.061,
311,157.658,
312,158.703,
313,157.017,
314,153.718,
315,159.664,
316,157.143,
317,157.948,
318,155.453,
319,156.453,
320,157.878,
321,156.581,
322,160.117,
323,156.688,
324,157.034,
325,159.626,
326,160.311,
327,156.759,
328,155.935,
329,158.13,
330,156.474,
331,159.118,
332,154.849,
333,156.694,
334,156,
335,159.367,
336,160.468,
337,155.277,
338,158.033,
339,157.434,
340,159.881,
341,156.871,
342,158.672,
343,157.53,
344,154.923,
345,155.979,
346,158.204,
347,157.914,
348,157.045,
349,156.268,
350,159.193,
351,156.52,
352,161.897,
353,159.875,
354,157.315,
355,158.357,
356,159.181,
357,155.854,
358,160.204,
359,159.378,
360,157.195,
361,159.06,
362,158.932,
363,156.608,
364,155.389,
365,157.099,
366,158.622,
367,156.929,
368,157.952,
369,156.264,
370,154.461,
371,157.514,
372,156.499,
373,158.253,
374,157.829,
375,158.825,
376,156.756,
377,155.99,
378,157.621,
379,158.134,
380,156.932,
381,160.721,
382,156.943,
383,157.351,
384,155.258,
385,156.555,
386,155.886,
387,156.294,
388,160.104,
389,159.31,
390,156.408,
391,159.093,
392,159.687,
393,158.539,
394,154.83,
395,158.455,
396,157.657,
397,159.752,
398,158.088,
399,157.584,
400,158.607,
401,156.795,
402,156.629,
403,161.728,
404,155.702,
405,158.948,
406,159.427,
407,158.128,
408,157.787,
409,159.029,
410,160.307,
411,158.42,
412,158.714,
413,163.952,
414,158.83,
415,154.812,
416,158.915,
417,159.054,
418,160.394,
419,158.576,
420,157.72,
421,162.213,
422,160.428,
423,157.009,
424,157.565,
425,156.425,
426,159.917,
427,156.767,
428,156.986,
429,159.234,
430,160.303,
431,158.523,
432,159.244,
433,158,
434,162.246,
435,159.788,
436,160.29,
437,158.787,
438,161.337,
439,158.415,
440,158.305,
441,158.33,
442,158.682,
443,156.625,
444,159.636,
445,157.624,
446,159.571,
447,156.597,
448,157.639,
449,158.163,
450,158.044,
451,159.968,
452,159.003,
453,156.206,
454,157.192,
455,160.627,
456,156.442,
457,161.9,
458,156.379,
459,159.973,
460,158.312,
461,157.902,
462,157.942,
463,159.074,
464,159.551,
465,159.547,
466,160.375,
467,162.327,
468,159.103,
469,159.12,
