Time (s),Oxygen(hPa),crit val
0,148.287,58
1,144.412,131
2,150.91,
3,147.317,
4,149.309,
5,147.943,
6,150.352,
7,147.117,
8,151.516,
9,144.464,
10,148.21,
11,153.614,
12,148.709,
13,151.65,
14,153.681,
15,151.347,
16,153.344,
17,153.78,
18,154.54,
19,152.841,
20,154.218,
21,153.879,
22,154.915,
23,153.273,
24,155.624,
25,153.58,
26,151.021,
27,152.409,
28,153.505,
29,156.929,
30,154.939,
31,153.852,
32,155.96,
33,153.004,
34,150.186,
35,153.061,
36,151.32,
37,152.856,
38,156.522,
39,152.754,
40,154.962,
41,154.589,
42,156.658,
43,155.296,
44,157.654,
45,155.404,
46,156.986,
47,153.562,
48,155.144,
49,153.38,
50,156.443,
51,153.529,
52,151.576,
53,155.035,
54,152.254,
55,156.046,
56,152.297,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,132.684,
73,117.926,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,115.726,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,123.431,
96,,
97,124.23,
98,121.859,
99,,
100,118.356,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,111.518,
129,,
130,,
131,,
132,154.251,
133,153.543,
134,154.003,
135,155.699,
136,155.785,
137,158.009,
138,152.588,
139,155.509,
140,158.077,
141,155.386,
142,157.293,
143,156.319,
144,159.499,
145,156.921,
146,156.746,
147,160.191,
148,156.099,
149,157.187,
150,157.852,
151,158.05,
152,158.926,
153,157.726,
154,156.449,
155,159.758,
156,156.389,
157,159.675,
158,155.849,
159,154.947,
160,155.405,
161,156.882,
162,155.274,
163,156.692,
164,153.953,
165,153.911,
166,156.329,
167,157.416,
168,155.011,
169,155.141,
170,157.159,
171,155.449,
172,159.482,
173,159.602,
174,159.052,
175,156.444,
176,156.944,
177,155.794,
178,158.569,
179,155.831,
180,158.611,
181,156.434,
182,158.343,
183,156.948,
184,159.844,
185,157.77,
186,157.093,
187,157.111,
188,159.885,
189,157.758,
190,156.106,
191,158.719,
192,159.972,
193,158.29,
194,156.331,
195,156.067,
196,156.179,
197,157.109,
198,161.001,
