Time(s),Oxygen(hPa)
1,177.474
2,176.495
3,
4,
5,
6,
7,
8,
9,
10,163.659
11,
12,
13,147.915
14,
15,
16,
17,
18,152.079
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,157.189
29,
30,155.838
31,154.216
32,158.609
33,164.036
34,
35,163.171
36,161.421
37,151.032
38,164.634
39,151.266
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,143.292
52,148.929
53,152.596
54,146.058
55,149.647
56,
57,
58,
59,
60,153.564
61,158.813
62,147.921
63,155.984
64,151.582
65,152.848
66,148.001
67,148.49
68,150.968
69,154.17
70,145.143
71,148.51
72,156.061
73,156.783
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,120.493
115,
116,
117,
118,
119,
120,
121,
122,
123,
