Time(s),Oxygen(hPa)
1,170.363
2,162.872
3,167.524
4,162.793
5,167.426
6,
7,
8,
9,
10,149.365
11,
12,143.862
13,
14,
15,150.429
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,146.762
34,
35,146.918
36,
37,138.705
38,
39,136.326
40,
41,
42,138.421
43,139.365
44,141.535
45,
46,
47,141.11
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,109.947
106,
107,115.194
108,115.156
109,114.024
110,
111,
112,116.493
113,118.813
114,113.831
115,
116,115.423
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,156.721
136,164.727
137,161.2
138,165.77
139,173.233
140,164.668
141,163.703
142,171.02
