Time(s),Oxygen(hPa)
1,170.006
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,169.4
27,171.939
28,172.398
29,167.012
30,173.492
31,
32,181.98
33,172.354
34,176.581
35,171.731
36,
37,
38,
39,159.489
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,159.066
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,166.244
84,
85,
86,
87,
88,
89,137.436
90,145.339
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,149.004
110,136.669
111,
112,
113,137.185
114,136.583
115,145.055
116,135.545
117,145.084
118,
119,
120,
121,
122,
123,137.121
124,
125,
126,
127,
128,
129,
130,167.539
131,172.415
132,176.304
133,172.157
