Time(s),Oxygen(hPa)
1,
2,
3,
4,
5,157.816
6,
7,
8,
9,
10,
11,
12,
13,
14,150.413
15,150.46
16,
17,
18,149.383
19,155.821
20,147.601
21,
22,145.98
23,151.712
24,144.191
25,
26,
27,148.378
28,143.401
29,
30,
31,
32,
33,149.202
34,
35,153.151
36,
37,
38,155.334
39,148.443
40,145.878
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,127.636
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,174.511
119,165.742
120,169.602
121,169.321
122,174.32
123,176.494
124,171.526
125,171.651
126,168.657
127,174.174
128,170.663
129,175.938
130,172.513
131,168.286
