Time(s),Oxygen(hPa)
1,182.034
2,170.991
3,169.372
4,169.246
5,159.958
6,173.175
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,150.547
24,156.198
25,155.151
26,155.183
27,153.922
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,152.297
39,152.726
40,156.043
41,146.416
42,146.945
43,153.605
44,
45,148.174
46,154.169
47,140.801
48,152.66
49,
50,149.466
51,145.434
52,149.617
53,149.27
54,146.284
55,146.977
56,147.477
57,151.208
58,151.893
59,146.806
60,
61,
62,
63,
64,147.501
65,
66,139.16
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,149.694
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,169.63
127,172.137
128,174.709
129,164.509
