Time(s),Oxygen(hPa)
1,165.52
2,176.441
3,171.198
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,179.639
26,174.312
27,173.141
28,172.813
29,172.537
30,174.62
31,173.636
32,169.437
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,179.9
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,176.473
55,168.747
56,174.285
57,180.646
58,170.754
59,179.952
60,171.74
61,167.04
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,144.297
75,
76,
77,
78,
79,152.65
80,
81,
82,
83,
84,139.725
85,145.076
86,144.16
87,145.621
88,143.166
89,141.787
90,150.949
91,
92,143.294
93,146.469
94,
95,
96,146.828
97,146.642
98,146.265
99,143.312
100,
101,
102,148.756
103,148.069
104,142.001
105,148.899
106,146.748
107,
108,152.609
109,
110,145.481
111,148.271
112,
113,
114,
115,170.738
116,175.082
117,164.889
118,177.9
