boris_id,dive.id,Species,Boccia.ID,Site,submersion.type,Submersion.naturally.terminated.,Mass,SVL,Sex,Rebreathing.type
ANOX305,1,oxylophus,ANOX3,La_Selva,dunk,yes,3.5,56,F,sustained
ANOX306,1,oxylophus,ANOX3,La_Selva,dunk,yes,3.5,56,F,incidental
ANOX401,1,oxylophus,ANOX4,La_Selva,dunk,yes,3.7,60,M,incidental
ANOX402,1,oxylophus,ANOX4,La_Selva,dunk,yes,3.7,60,M,incidental
ANOX403,1,oxylophus,ANOX4,La_Selva,dunk,yes,3.7,60,M,incidental
ANOX404,1,oxylophus,ANOX4,La_Selva,dunk,yes,3.7,60,M,incidental
ANOX501,1,oxylophus,ANOX5,La_Selva,dunk,yes,3.6,54,F,no
ANOX501_2,1,oxylophus,ANOX5,La_Selva,dunk,yes,3.6,54,F,incidental
ANOX502,1,oxylophus,ANOX5,La_Selva,dunk,yes,3.6,54,F,incidental
ANOX503,1,oxylophus,ANOX5,La_Selva,dunk,yes,3.6,54,F,incidental
ANOX504,1,oxylophus,ANOX5,La_Selva,dunk,yes,3.6,54,F,no
ANOX505,1,oxylophus,ANOX5,La_Selva,dunk,yes,3.6,54,F,incidental
ANOX505_2,2,oxylophus,ANOX5,La_Selva,dunk,yes,3.6,54,F,no
ANOX601,1,oxylophus,ANOX6,La_Selva,dunk,yes,7.8,68,M,sustained
ANOX602,1,oxylophus,ANOX6,La_Selva,dunk,yes,7.8,68,M,sustained
ANOX602_2,2,oxylophus,ANOX6,La_Selva,dunk,yes,7.8,68,M,sustained
ANOX603,1,oxylophus,ANOX6,La_Selva,dunk,yes,7.8,68,M,sustained
ANOX604,1,oxylophus,ANOX6,La_Selva,dunk,yes,7.8,68,M,sustained
ANOX604_2,2,oxylophus,ANOX6,La_Selva,dunk,yes,7.8,68,M,incidental
ANOX604_3,3,oxylophus,ANOX6,La_Selva,dunk,yes,7.8,68,M,incidental
BILS AD 02 b2,1,peraccae,BILS AD 02,Ecuador,dunk,yes,1.8,51.4,M,no
BILS AHM 01,1,purpurescens,BILS AHM 01,Ecuador,dunk,yes,7.1,82.84,M,incidental
BILS AHM 01_2,1,purpurescens,BILS AHM 01,Ecuador,dunk,no,7.1,82.84,M,no
BILS AHM 01_2_2,2,purpurescens,BILS AHM 01,Ecuador,dunk,yes,7.1,82.84,M,incidental
BILS AHM 02,1,gracilipes,BILS AHM 02,Ecuador,dunk,yes,2.7,58.68,M,sustained
BILS AHM 03 b2,1,gracilipes,BILS AHM 03,Ecuador,dunk,yes,2.4,52.37,F,no
BILS AHM 03_2,1,gracilipes,BILS AHM 03,Ecuador,dunk,yes,2.4,52.37,F,incidental
BILS AMR 01,1,gracilipes,BILS AMR 01,Ecuador,dunk,yes,0.727,36.42,J,incidental
BILS AMR 02 b2,1,Echinosaura horrida,BILS AMR 02,Ecuador,dunk,no,10.6,81.38,F,no
BILS AMR 02_2 b2,1,Echinosaura horrida,BILS AMR 02,Ecuador,dunk,yes,10.6,81.38,F,incidental
BILS AMR 03 b2,1,peraccae,BILS AMR 03,Ecuador,dunk,yes,1.796,50.26,M,no
BILS DLM 01,1,maculiventris,BILS DLM 01,Ecuador,dunk,yes,0.535,34.69,J,no
BILS DLM 02,1,maculiventris,BILS DLM 02,Ecuador,dunk,yes,1.383,47.83,F,no
BILS DLM 03,1,gracilipes,BILS DLM 03,Ecuador,dunk,yes,2.2,52.87,F,sustained
BILS DLM 03 b4,1,gracilipes,BILS DLM 03,Ecuador,dunk,yes,2.2,52.87,F,incidental
BILS DLM 04 b2,1,princeps,BILS DLM 04,Ecuador,dunk,yes,26.8,112.82,F,incidental
BILS DLM 04_2,1,princeps,BILS DLM 04,Ecuador,dunk,yes,26.8,112.82,F,incidental
BILS DLM 05 b3,1,gracilipes,BILS DLM 05,Ecuador,dunk,yes,1.249,44.81,J,no
BILS DLM 05_2 b3,1,gracilipes,BILS DLM 05,Ecuador,dunk,yes,1.249,44.81,J,incidental
BILS DLM FA 01 b4,1,lynchi,BILS FA 01,Ecuador,dunk,yes,3.8,58.09,M,sustained
BILS FA 01 b2,1,lynchi,BILS FA 01,Ecuador,dunk,yes,3.8,58.09,M,sustained
BILS FA 01 b3_2,1,lynchi,BILS FA 01,Ecuador,dunk,yes,3.8,58.09,M,incidental
BILS FA 01 id_g1,1,lynchi,BILS FA 01,Ecuador,dunk,yes,3.8,58.09,M,incidental
BILS FA 01_2 b3,1,lynchi,BILS FA 01,Ecuador,dunk,yes,3.8,58.09,M,no
BILS FA 01_2 b3_2,1,lynchi,BILS FA 01,Ecuador,dunk,yes,3.8,58.09,M,no
BILS FA 01_2 b4,1,lynchi,BILS FA 01,Ecuador,dunk,yes,3.8,58.09,M,no
BILS FA 01_3 b4,1,lynchi,BILS FA 01,Ecuador,dunk,yes,3.8,58.09,M,sustained
BILS FA 01_3 b4_2,1,lynchi,BILS FA 01,Ecuador,dunk,yes,3.8,58.09,M,incidental
BILS FA 02 b2,1,purpurescens,BILS FA 02,Ecuador,dunk,yes,0.515,34.06,J,no
BILS FA 02_2 b2,1,purpurescens,BILS FA 02,Ecuador,dunk,yes,0.515,34.06,J,no
BILS FA 03 b2,1,gracilipes,BILS FA 03,Ecuador,dunk,yes,0.401,30.41,J,incidental
BILS FA 04 b2,1,gracilipes,BILS FA 04,Ecuador,dunk,yes,3.5,60.87,F,incidental
BILS FA 05 b2,1,princeps,BILS FA 05,Ecuador,dunk,yes,1.273,39.44,J,no
BILS KT 01,1,Alopoglossus festae,BILS KT 01,Ecuador,dunk,yes,4.2,57.53,J,no
BILS KT 01_2,2,Alopoglossus festae,BILS KT 01,Ecuador,dunk,yes,4.2,57.53,J,no
BILS KT 03 b2,1,lyra,BILS KT 03,Ecuador,dunk,yes,0.629,31.52,J,no
BILS KT 04 b3,1,lynchi,BILS KT 04,Ecuador,dunk,yes,2.958,53.48,F,sustained
BILS KT 04 b4,1,lynchi,BILS KT 04,Ecuador,dunk,yes,2.958,53.48,F,sustained
BILS KT 04 id_g2,1,lynchi,BILS KT 04,Ecuador,dunk,yes,2.958,53.48,F,incidental
BILS KT 04 id_g3,1,lynchi,BILS KT 04,Ecuador,dunk,yes,2.958,53.48,F,sustained
BILS KT 04_2 b3,1,lynchi,BILS KT 04,Ecuador,dunk,yes,2.958,53.48,F,sustained
BILS KT 05 b3,1,Echinosaura horrida,BILS KT 05,Ecuador,dunk,yes,5.25,63.54,J,no
BILS KT 06 b3,1,lynchi,BILS KT 06,Ecuador,dunk,yes,2.345,50.3,F,no
BILS KT 06 b4,1,lynchi,BILS KT 06,Ecuador,dunk,yes,2.345,50.3,F,sustained
BILS KT 06_2 b3,1,lynchi,BILS KT 06,Ecuador,dunk,yes,2.345,50.3,F,sustained
BILS KT 06_2 b4,1,lynchi,BILS KT 06,Ecuador,dunk,yes,2.345,50.3,F,incidental
BILS KT 06_2 b4_2,2,lynchi,BILS KT 06,Ecuador,dunk,yes,2.345,50.3,F,incidental
BILS KT 06_2 b4_3,3,lynchi,BILS KT 06,Ecuador,dunk,yes,2.345,50.3,F,no
BILS KT 06_3 b3,1,lynchi,BILS KT 06,Ecuador,dunk,yes,2.345,50.3,F,no
BILS KT 06_3 b3_2,2,lynchi,BILS KT 06,Ecuador,dunk,yes,2.345,50.3,F,incidental
BILS KT 06_3 b3_3,3,lynchi,BILS KT 06,Ecuador,dunk,yes,2.345,50.3,F,incidental
BILS KT 06_4 b3,1,lynchi,BILS KT 06,Ecuador,dunk,yes,2.345,50.3,F,incidental
BILS KT 06_5 b3,1,lynchi,BILS KT 06,Ecuador,dunk,yes,2.345,50.3,F,no
BILS KT 06_5 b3_2,2,lynchi,BILS KT 06,Ecuador,dunk,yes,2.345,50.3,F,incidental
BILS MAG 01 b2,1,chloris,BILS MAG 01,Ecuador,dunk,yes,2.939,55.25,F,sustained
BILS MAG 01_2 b2,1,chloris,BILS MAG 01,Ecuador,dunk,yes,2.939,55.25,F,no
BILS MT 01,1,purpurescens,BILS MT 01,Ecuador,dunk,yes,3.5,65.7,M,sustained
BILSA FA 01 b3,1,lynchi,BILS FA 01,Ecuador,dunk,yes,3.8,58.09,M,incidental
Boccia 222,1,maculigula,Boccia 222,Tatama,dunk,yes,26.1,107,M,sustained
Boccia 222 2,2,maculigula,Boccia 222,Tatama,dunk,no,26.1,107,M,no
Boccia 222 dunk,1,maculigula,Boccia 222,Tatama,dunk,no,26.1,107,M,no
Boccia 222 dunk 2,2,maculigula,Boccia 222,Tatama,dunk,no,26.1,107,M,incidental
Boccia 223,1,maculigula,Boccia 223,Tatama,dunk,no,8.6,72,F,no
Boccia 223 2,2,maculigula,Boccia 223,Tatama,dunk,yes,8.6,72,F,sustained
Boccia 223_2,1,maculigula,Boccia 223,Tatama,dunk,yes,8.6,72,F,sustained
Boccia 224 2,2,maculigula,Boccia 224,Tatama,dunk,yes,23.7,110,M,incidental
Boccia 225,1,maculigula,Boccia 225,Tatama,dunk,yes,8.2,66,F,sustained
Boccia 225 2,2,maculigula,Boccia 225,Tatama,dunk,yes,8.2,66,F,sustained
Boccia 225 dunk,1,maculigula,Boccia 225,Tatama,dunk,yes,8.2,66,F,no
Boccia 225 natural dive,1,maculigula,Boccia 225,Tatama,voluntary,no,8.2,66,F,incidental
Boccia 229 2,2,maculigula,Boccia 229,Tatama,dunk,yes,7.5,72,F,incidental
Boccia121 1,1,aquaticus,Boccia 121,Las_Cruces,dunk,yes,7.6,69,M,no
Boccia121 2,1,aquaticus,Boccia 121,Las_Cruces,dunk,yes,7.6,69,M,sustained
Boccia121 3,1,aquaticus,Boccia 121,Las_Cruces,dunk,no,7.6,69,M,no
Boccia121 4,1,aquaticus,Boccia 121,Las_Cruces,dunk,yes,7.6,69,M,incidental
Boccia121 5,1,aquaticus,Boccia 121,Las_Cruces,dunk,yes,7.6,69,M,sustained
Boccia123,1,aquaticus,Boccia 123,Las_Cruces,voluntary,yes,1.2,36,J,incidental
Boccia125,1,aquaticus,Boccia 125,Las_Cruces,dunk,yes,5.1,57,F,sustained
Boccia131,1,aquaticus,Boccia 131,Las_Cruces,dunk,yes,1,34,J,sustained
Boccia134 1,1,aquaticus,Boccia 134,Las_Cruces,dunk,yes,3.5,53,F,sustained
Boccia134 2,1,aquaticus,Boccia 134,Las_Cruces,dunk,yes,3.5,53,F,incidental
Boccia134 2 2,2,aquaticus,Boccia 134,Las_Cruces,dunk,yes,3.5,53,F,sustained
Boccia134 2 3,3,aquaticus,Boccia 134,Las_Cruces,dunk,yes,3.5,53,F,sustained
