"Species","Boccia.ID","Site","submersion.type","Submersion.naturally.terminated.","Mass","SVL","Sex","Rebreathing.type","Duration mean","num_all_rb mean","rb_full_rate mean","rb_full_int mean","first_rb mean","last_rb mean","rb_period mean","rate_adj_rb mean","low_rb mean","low_rb_rate mean","num_br mean","rate_br mean","num_gul mean","rate_gul mean","num_ch mean","rate_ch mean","dur_exh_tot mean","exh_pct mean","num_exh mean","exh_avg mean","soh mean","toh mean","hbn mean","lbn mean","num trials"
"purpurescens","BILS MT 01","Ecuador","dunk","yes",3.5,65.7,"M","sustained",43.266,12,0.277354042435168,2.49527272727273,31.164,58.612,27.448,0.437190323520839,0,0,4,0.0924513474783895,2,0.0462256737391947,0,0,17.204,0.397633245504553,9,1.91155555555556,0,12,0,0,1
"maculigula","Boccia 222","Tatama","dunk","no",26.1,107,"M","sustained",85.89825,2,0.0153304446221488,NA,NA,NA,NA,NA,0,0,3,0.0244714497836631,2.5,0.0292137089711097,0.5,0.0127026380686089,5.16224999999999,0.048628665535342,4.25,NA,0,2,0,0,4
"maculigula","Boccia 223","Tatama","dunk","yes",8.6,72,"F","sustained",96.2346666666667,9.33333333333333,0.0951795432964538,8.42518412698412,92.9003333333333,108.179,18.9426666666667,1.14078614617354,0.666666666666667,0.00489573312379597,2.66666666666667,0.0274888153543309,5,0.049779753971295,0,0,22.9386666666667,0.248171809970635,11.3333333333333,2.16685589225589,5,4.33333333333333,0,0.666666666666667,3
"maculigula","Boccia 224","Tatama","dunk","yes",23.7,110,"M","incidental",54.415,1.5,0.0264984895860936,NA,NA,NA,NA,NA,0,0,5,0.0912942811272643,2.5,0.0449056449368941,0,NA,21.081,0.378739920808423,5,3.86920833333333,0.5,1,0,0,2
"maculigula","Boccia 225","Tatama","dunk","yes",8.2,66,"F","sustained",41.704,4.25,0.105687347864549,NA,NA,NA,NA,NA,0.25,0.00597785801391645,0.75,0.0164246764338743,2.25,0.0550781541352954,0.25,0.0092671535011306,8.34125,0.208090124460627,4.5,NA,0.75,3.5,0,0.25,4
"maculigula","Boccia 229","Tatama","dunk","yes",7.5,72,"F","incidental",45.0288333333333,2.16666666666667,0.0487251369511822,NA,NA,NA,NA,NA,0.166666666666667,0.00244673458801883,2.83333333333333,0.070532085040627,1.16666666666667,0.028126092480255,0.5,0.0073033051626004,11.7096666666666,0.255422300988137,4.83333333333333,2.15876865079365,1,1.16666666666667,0,0.166666666666667,6
"aquaticus","Boccia 121","Las_Cruces","dunk","yes",7.6,69,"M","sustained",79.5516,15.8,0.108498068173804,NA,NA,NA,NA,NA,0,0,3.2,0.0768881385642126,2.6,0.0488129393330204,0,0,51.7668,0.675951591740492,16.8,4.47317275132275,0,15.8,0,0,5
"aquaticus","Boccia 125","Las_Cruces","dunk","yes",5.1,57,"F","sustained",189.744,22,0.115945695252551,8.27219047619048,3.669,177.385,173.716,0.126643487070851,0,0,4,0.0210810355004638,40,0.210810355004638,11,0.0579728476262754,24.395,0.128567965258453,22,1.10886363636363,0,22,0,0,1
"aquaticus","Boccia 134","Las_Cruces","dunk","yes",3.5,53,"F","sustained",90.015,7.4,0.146784516052344,8.66915380952381,135.397,184.8212,49.4242,0.168428505302677,0,0,2,0.0382364634757658,8.6,0.161079787437641,0.2,0.00307715978152166,17.1632,0.347254849078293,7.8,3.10101666666666,4.2,3.2,0,0,5
"polylepis","Boccia 137","Las_Cruces","dunk","no",1.4,44,"M","no",87.478,0,0,NA,NA,NA,NA,NA,0,0,0,0,0.5,0.00530228316313005,0,0,0,0,0,NA,0,0,0,0,2
"aquaticus","Boccia 138","Las_Cruces","dunk","yes",5.7,66,"M","sustained",123.8145,24,0.187301022540675,5.39628676470588,21.4475,127.5775,106.13,0.213878730746229,0,0,5,0.0407207022526858,12.5,0.0925309053223775,1,0.0074024724257902,45.664,0.35729800280631,28,1.58156725146199,0,24,0,0,2
"aquaticus","Boccia 139","Las_Cruces","dunk","yes",4.4,58,"M","sustained",95.65,14,0.14636696288552,6.71630769230769,18.358,105.67,87.312,0.16034451163643,0,0,4,0.0418191322530058,0,0,0,0,84.297,0.881306847882906,6,14.0495,0,14,0,0,1
"aquaticus","Boccia 140","Las_Cruces","dunk","yes",1.7,43,"F","sustained",168.913,37,0.219047675430547,4.41777777777778,6.137,165.177,159.04,0.232645875251509,0,0,2,0.0118404148881377,32,0.189446638210203,34,0.201287053098341,38.056,0.225299414491483,36,1.05711111111111,0,37,0,0,1
"aquaticus","Boccia 142","Las_Cruces","dunk","yes",3,52,"F","sustained",136.54025,6,0.0423652817539902,NA,NA,NA,NA,NA,0.25,0.00189067368484739,0.5,0.00397370697142542,2,0.0138513335550814,0,0,64.2345,0.438053239282231,5.75,15.3141547619048,0,6,0,0.25,4
