"VideoID","ID","Start","End","Duration","num_all_rb","rb_full_rate","rb_full_int","first_rb","last_rb","rb_period","rate_adj_rb","low_rb","low_rb_rate","num_br","rate_br","num_gul","rate_gul","num_ch","rate_ch","coov","toov","hoov","dur_exh_tot","exh_pct","num_exh","exh_avg","soh","toh","hbn","lbn","dive.id","Species","Boccia.ID","Site","submersion.type","Submersion.naturally.terminated.","Mass","SVL","Sex","Rebreathing.type"
"Boccia161 3","Boccia 161",27.104,109.54,82.436,8,0.0970449803483915,4.48871428571429,33.622,65.043,31.421,0.254606791636167,0,0,4,0.0485224901741957,3,0.0363918676306468,5,0.0606531127177447,0,0,0,6.12500000000001,0.0743000630792373,11,0.556818181818182,0,8,0,0,1,"aquaticus","Boccia 161 ","Las_Cruces","dunk","yes",6.2,65,"M","sustained"
"Boccia161 4 2","Boccia 161",154.57,279.787,125.217,14,0.111805904949009,8.33892307692308,166.044,274.45,108.406,0.129144143313101,0,0,8,0.0638890885422906,16,0.127778177084581,7,0.0559029524745043,0,0,0,43.412,0.34669413897474,20,2.1706,0,12,2,0,2,"aquaticus","Boccia 161 ","Las_Cruces","dunk","yes",6.2,65,"M","sustained"
"Boccia161 4","Boccia 161",49.853,140.894,91.041,6,0.0659043727551323,14.5164,56.704,129.286,72.582,0.0826651235843598,0,0,4,0.0439362485034215,14,0.153776869761975,8,0.0878724970068431,0,0,0,10.466,0.114959194209203,8,1.30825,0,6,0,0,1,"aquaticus","Boccia 161 ","Las_Cruces","dunk","yes",6.2,65,"M","sustained"
"Boccia161 5 2","Boccia 161",254.921,383.777,128.856,15,0.116409014714099,5.37507142857143,258.572,333.823,75.251,0.199332899230575,0,0,7,0.0543242068665798,6,0.0465636058856398,3,0.0232818029428199,0,0,0,15.7270000000003,0.122050971627245,21,0.748904761904774,0,15,0,0,2,"aquaticus","Boccia 161 ","Las_Cruces","dunk","yes",6.2,65,"M","sustained"
"Boccia161 5","Boccia 161",138.602,247.231,108.629,14,0.12887902862035,6.48638461538462,152.035,236.358,84.323,0.16602824852057,0,0,3,0.0276169347043607,14,0.12887902862035,7,0.064439514310175,0,0,0,50.692,0.466652551344484,8,6.33649999999999,0,13,1,0,1,"aquaticus","Boccia 161 ","Las_Cruces","dunk","yes",6.2,65,"M","sustained"
"Boccia161","Boccia 161",31.888,136.825,104.937,10,0.0952952724015362,5.70011111111111,36.891,88.192,51.301,0.194927974113565,0,0,4,0.0381181089606145,7,0.0667066906810753,0,0,0,0,0,28.343,0.270095390567674,10,2.8343,0,10,0,0,1,"aquaticus","Boccia 161 ","Las_Cruces","dunk","yes",6.2,65,"M","sustained"
"Boccia166 2","Boccia 166",48.355,155.971,107.616,9,0.0836306868867083,41.085875,144.43,132.755,11.675,0.770877944325481,1,0.00929229854296759,7,0.0650460898007731,33,0.30664585191793,0,0,0,0,0,49.287,0.457989518287244,13,3.79130769230769,0,9,0,1,1,"aquaticus","Boccia 166","Las_Cruces","dunk","yes",10.2,74,"M","sustained"
"Boccia166 3","Boccia 166",26.101,266.911,240.81,42,0.174411361654416,5.66556097560976,27.352,259.64,232.288,0.180810028929605,0,0,11,0.0456791661475852,38,0.157800755782567,0,0,0,0,0,100.02,0.415348199825589,29,3.44896551724138,0,29,13,0,1,"aquaticus","Boccia 166","Las_Cruces","dunk","yes",10.2,74,"M","sustained"
"Boccia166","Boccia 166",32.021,199.133,167.112,24,0.143616257360333,6.25926086956522,33.889,177.852,143.963,0.166709501746977,0,0,6,0.0359040643400833,41,0.245344439657236,23,0.137632246636986,0,0,0,36.132,0.216214275455981,24,1.5055,0,24,0,0,1,"aquaticus","Boccia 166","Las_Cruces","dunk","yes",10.2,74,"M","sustained"
"Boccia167 2","Boccia 167",52.853,238.187,185.334,26,0.140287265153722,60.83272,156.037,150.567,5.47,4.75319926873857,1,0.00539566404437394,6,0.0323739842662436,22,0.118704608976227,12,0.0647479685324873,0,0,0,40.4450000000001,0.218227632274705,22,1.8384090909091,0,26,0,1,1,"aquaticus","Boccia 167","Las_Cruces","dunk","yes",5.7,64,"M","sustained"
