VideoID, ID,Start,End,Duration,num_all_rb,rb_full_rate,rb_full_int,first_rb,last_rb,rb_period,rate_adj_rb,low_rb, low_rb_rate, num_br,rate_br,num_gul,rate_gul,num_ch,rate_ch,coov,toov,hoov,dur_exh_tot,exh_pct,num_exh, exh_avg,soh,toh,hbn,lbn
ANOX101.csv,ANOX1,246.586,475.367,228.781,32,0.13987175508455685,7.353774193548388,246.900,474.867,227.967,0.1403711940763356,0,0.0,5,0.021854961731962008,10,0.043709923463924015,26,0.1346996715400317,35.759000000000015,0,0,73.60900000000021,0.32174437562559915,34.0,2.1649705882353003,32,0,0,0
ANOX102.csv,ANOX1,302.589,361.839,59.25,1,0.016877637130801686,NA,318.117,NA,NA,NA,0,0.0,3,0.05063291139240506,2,0.03375527426160337,3,0.05063291139240506,0,0,0,18.33099999999996,0.3093839662447251,4.0,4.58274999999999,1,0,0,0
ANOX102_2.csv,ANOX1,372.090,404.842,32.75200000000001,2,0.06106497313141181,9.501000000000033,391.337,400.838,9.501000000000033,0.21050415745710904,0,0.0,5,0.1526624328285295,0,0.0,0,NA,32.75200000000001,0,0,22.66300000000001,0.6919577430385931,3.0,7.554333333333337,2,0,0,0
ANOX103.csv,ANOX1,160.341,304.836,144.495,6,0.04152392816360428,37.53379999999999,170.417,185.086,14.669000000000011,0.4090258367986908,5,0.03460327346967023,4,0.027682618775736183,13,0.0899685110211426,1,0.011461318051575931,57.245000000000005,0,0,52.58099999999999,0.363894944461746,14.0,3.7557857142857136,6,0,0,5
ANOX104.csv,ANOX1,261.585,392.338,130.75300000000004,16,0.12236812922074441,38.316199999999995,305.348,350.835,45.486999999999966,0.35174885132015765,7,0.053536056534075685,5,0.03824004038148263,8,0.06118406461037221,0,0.0,0,0,0,78.05299999999994,0.5969499743791723,23.0,3.3936086956521714,16,0,0,7
ANOX104_2.csv,ANOX1,424.335,580.088,155.753,12,0.07704506494256932,11.772909090909092,438.334,567.836,129.502,0.09266266158051613,0,0.0,7,0.04494295454983211,8,0.05136337662837955,0,0.0,0,0,0,42.238,0.27118578775368696,14.0,3.017,12,0,0,0
ANOX105.csv,ANOX1,182.588,429.086,246.49800000000002,12,0.04868193656743665,79.43672727272725,372.087,261.589,110.49799999999999,0.10859925066517041,10,0.04056828047286387,5,0.020284140236431936,9,0.03651145242557749,3,0.012170484141859162,0,0,0,138.30100000000007,0.561063375767755,20.0,6.9150500000000035,12,0,0,10
ANOX105_2.csv,ANOX1,506.085,713.841,207.75600000000003,19,0.09145343576118137,69.35577777777777,646.085,635.089,10.995999999999981,1.727901054929068,4,0.019253354897090815,9,0.043320048518454335,11,0.052946725966999744,5,0.02406669362136352,0,0,0,82.4720000000001,0.39696567126821886,24.0,3.4363333333333372,19,0,0,4
ANOX106.csv,ANOX1,223.338,260.087,36.748999999999995,7,0.19048137364282025,5.041499999999995,228.341,258.590,30.248999999999967,0.23141260868127897,0,0.0,2,0.05442324961223435,3,0.08163487441835153,7,0.19048137364282025,0,0,0,10.50200000000001,0.28577648371384284,6.0,1.7503333333333349,7,0,0,0
ANOX106_2.csv,ANOX1,260.344,390.336,129.99200000000002,9,0.06923502984799064,42.248874999999984,337.084,388.085,51.000999999999976,0.17646712809552761,2,0.015385562188442364,5,0.03846390547110591,14,0.10769893531909655,6,0.04615668656532709,0,0,0,25.49099999999993,0.19609668287279158,14.0,1.8207857142857091,9,0,0,2
ANOX106_3.csv,ANOX1,487.085,572.086,85.00100000000003,5,0.05882283737838376,12.187749999999994,512.835,561.586,48.750999999999976,0.10256199872823127,0,0.0,3,0.035293702427030255,2,0.023529134951353503,5,0.05882283737838376,0,0,0,30.344999999999914,0.35699580004941,5.0,6.068999999999983,4,0,1,0
ANOX201.csv,ANOX2,229.584,572.344,342.76000000000005,22,0.06418485237483953,145.32619047619048,566.838,559.086,7.751999999999953,2.837977296181648,1,0.002917493289765433,5,0.014587466448827165,27,0.0787723188236667,30,0.087524798692963,0,0,0,87.02599999999978,0.25389777103512595,22.0,3.955727272727263,22,0,0,1
ANOX202.csv,ANOX2,227.087,241.886,14.799000000000007,2,0.1351442665044935,1.8240000000000123,231.783,233.607,1.8240000000000123,1.096491228070168,0,0.0,1,0.06757213325224674,0,0.0,0,0.0,0,0,0,1.0690000000000168,0.0722346104466529,3.0,0.35633333333333894,2,0,0,0
ANOX203.csv,ANOX2,156.838,444.342,287.504,11,0.03826033724748177,15.4743,174.846,329.589,154.743,0.071085606457158,0,0.0,7,0.02434748733930658,11,0.03826033724748177,9,0.03130391229339418,0,0,0,111.99300000000002,0.3895354499415661,10.0,11.199300000000003,11,0,0,0
ANOX204.csv,ANOX2,222.089,487.842,265.753,5,0.10752456936409975,56.24824999999999,223.097,448.090,224.99299999999997,0.022222913601756503,0,0.0,1,0.02150491387281995,6,0.02257735566484668,0,0.0,0,0,219.252,71.76499999999993,1.5433001440829222,5.0,14.352999999999986,5,0,0,0
ANOX204_2.csv,ANOX2,567.336,713.090,145.75400000000002,2,0.013721750346474194,5.247999999999934,572.086,577.334,5.247999999999934,0.3810975609756146,0,0.0,4,0.02744350069294839,6,0.04116525103942258,1,0.006860875173237097,0,0,0,142.00099999999998,0.9742511354748409,4.0,35.500249999999994,2,0,0,0
ANOX205.csv,ANOX2,225.336,362.835,137.49899999999997,6,0.0436366809940436,26.9002,226.335,360.836,134.501,0.0446093337596003,0,0.0,4,0.029091120662695737,10,0.07272780165673934,8,0.05818224132539147,0,0,0,78.23700000000005,0.5690005018218319,10.0,7.823700000000005,6,0,0,0
