time,oxygen
1,168.634872
2,168.529229
3,168.386834
4,168.728582
5,168.795033
6,168.529229
7,168.889963
8,168.823512
9,168.908949
10,168.984893
11,168.576694
12,168.462778
13,168.073565
14,168.843696
15,169.26019
16,169.715854
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,166.96428
32,168.899456
33,169.166424
34,169.043028
35,169.212725
36,169.24236
37,169.327788
38,169.507008
39,169.611431
40,169.470168
41,169.478529
42,170.418336
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,164.59128
59,169.051344
60,169.38474
61,169.791798
62,169.54498
63,169.203232
64,169.041851
65,170.01963
66,169.658896
67,170.247462
68,169.896221
69,169.877235
70,170.237969
71,169.943686
72,169.715854
73,170.11456
74,169.934193
75,169.896221
76,169.772812
77,170.332899
78,170.465801
79,170.769577
80,170.911972
81,170.427829
82,170.987916
83,172.089104
84,170.930958
85,170.71362
86,170.647176
87,170.712619
88,170.646168
89,171.092339
90,170.99838
91,171.121776
92,170.542764
93,171.073353
94,170.874984
95,170.598703
96,171.482472
97,170.95092
98,171.529017
99,170.788563
100,171.196762
101,171.367636
102,171.566989
103,171.938088
104,172.079611
105,
106,
107,
108,
109,
110,
111,
112,
113,158.618537
114,161.449428
115,162.966331
116,163.289093
117,161.990472
118,161.335524
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,158.525892
134,160.205976
135,160.298798
136,160.443276
137,160.433784
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,150.131795
181,132.607717
182,137.785872
183,142.860157
184,
185,130.647888
186,132.057123
187,129.076321
188,142.740696
189,143.205804
190,148.815576
191,145.888424
192,
193,
194,169.375248
195,170.57124
196,170.675652
197,170.969904
198,170.522759
199,171.054367
200,170.959437
201,170.987916
202,171.092339
203,170.628192
204,170.770572
205,171.719772
206,170.133546
207,170.845521
208,171.61536
209,172.033008
210,172.156404
211,172.127076
212,171.91823
213,171.61536
214,172.240992
215,171.94758
216,172.450656
217,172.289292
218,172.335922
219,172.365228
220,171.47298
221,171.871644
222,172.269471
223,172.2798
224,172.42218
225,172.213356
226,172.545576
