Time(s),Oxygen(hPa)
1,
2,
3,
4,
5,
6,
7,
8,
9,153.056
10,
11,
12,
13,151.189
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,141.311
30,
31,
32,
33,
34,149.248
35,140.144
36,
37,
38,
39,156.281
40,
41,
42,
43,
44,149.205
45,
46,149.117
47,
48,
49,
50,
51,
52,
53,143.499
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,145.571
64,
65,133.883
66,
67,139.936
68,
69,
70,143.194
71,141.913
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,135.972
90,
91,
92,
93,
94,
95,
96,131.18
97,
98,129.206
99,
100,
101,
102,
103,
104,
105,
106,
107,173.867
108,175.153
109,179.26
