Time(s),Oxygen(hPa)
1,223.5
2,224.147
3,226.599
4,222.81
5,237.897
6,215.108
7,211.62
8,228.546
9,216.385
10,227.721
11,224.811
12,225.676
13,222.126
14,
15,
16,216.112
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,188.062
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,203.651
104,
105,
106,
107,181.36
108,173.807
109,195.734
110,
111,175.32
112,201.065
113,
114,
115,
116,
117,
118,
119,
120,
121,170.049
122,
123,159.747
124,
125,158.291
126,
127,
128,183.337
129,
130,
131,182.893
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,179.658
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,136.644
161,
162,164.635
163,
164,
165,163.234
166,
167,150.298
168,163.143
169,
170,
171,172.275
172,
173,
174,
175,
176,
177,164.158
178,176.546
179,171.474
180,161.585
181,
182,161.198
183,169.014
184,
185,
186,163.372
187,
188,160.519
189,159.917
190,156.459
191,162.104
192,162.759
193,157.703
194,
195,163.892
196,
197,173.835
198,160.23
199,
200,
201,
202,
203,194.218
