Time(s),Oxygen(hPa)
1,172.004
2,193.414
3,178.793
4,179.878
5,169.414
6,184.881
7,173.68
8,166.518
9,189.942
10,178.326
11,185.067
12,184.527
13,184.564
14,183.739
15,179.643
16,186.925
17,188.9
18,172.386
19,177.746
20,178.204
21,
22,
23,
24,
25,
26,178.183
27,155.668
28,
29,
30,174.019
31,
32,
33,
34,
35,172.161
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,166.876
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,143.68
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,170.151
103,180.648
104,185.431
105,172.835
106,177.532
107,184.02
108,180.069
109,173.392
110,191.173
111,189.201
112,177.713
113,184.619
114,176.005
115,184.699
116,180.884
117,
118,
