"","plot","species","duration","reads","r2_lin","r2_cur","f_read","f_read_fit","w_temp","lin_aic","quad_aic","exp_aic","asym_aic","lin_lik","quad_lik","exp_lik","asym_lik","lin_int","lin_slope","quad_int","quad_x","quad_x2","quad_dir","exp_int","exp_cur","asym_int","asym_cur","asym_asym","p_lin","p_exp"
"1","./trace trials/CR/Boccia149.1.edit","aquaticus","164","20","0.835720516330642","0.842382614885029","101.244","85.7503294251906","22.6","121.019462217222","123.358155621712","121.791161942266","NULL","-56.7597311086109","-56.3457444775227","-57.1455809711331","NULL","140.343385758549","-0.332884489837554","132.50386528369","-0.125873140519258","-0.00121739496193711","down","143.47770282286","0.00294801436748029","NULL","NULL","NULL","1.75111988269378e-08","3.12617768931371e-08"
"2","./trace trials/CR/BOCCIA154.1.edit","aquaticus","158","6","0.543600372314968","0.84572653156932","82.095","74.6002933484935","22.12","59.8846540722142","83.3768020386579","59.2523755539244","NULL","-20.9423270361071","-17.6884010193289","-20.6261877769622","NULL","109.209103112564","-0.219043099772598","125.544186903774","-0.786071031761526","0.00357923011143272","up","112.179253462035","0.00257135354952793","NULL","NULL","NULL","0.0944573706799609","0.0629091374503065"
"3","./trace trials/CR/BOCCIA154.2","aquaticus","209","50","0.623715728331256","0.712560444204123","92.678","54.4792143992781","22.18","386.435568405895","375.336103065209","378.391921373242","375.190863918623","-189.95691463773","-183.22360708816","-185.935091121404","-183.150987514867","125.804094756625","-0.341267370130847","156.447302279428","-0.875892338451512","0.0020887642901208","up","142.268631608223","0.00442044294604666","161.108238431505","0.0104437451258281","49.8473669285499","9.30792424707006e-12","1.20122993148736e-14"
"4","./trace trials/CR/BOCCIA155.1","aquaticus","232","52","0.907387476708035","0.923381002026351","71.999","66.6912968756204","22.21","355.763189560441","348.256129170166","347.994625863682","348.460194953368","-174.63159478022","-169.70253267019","-170.747312931841","-169.804565561791","135.224067834292","-0.295399874821861","142.343808390673","-0.489999419453352","0.000810535537676452","up","139.835145284342","0.00302612279915627","142.972594029259","0.00520084591226787","40.6892573837885","1.72695809633986e-27","3.65991323985988e-29"
"5","./trace trials/CR/BOCCIA155.2.edit","aquaticus","240","46","0.892887318001922","0.897815230967065","62.05","64.5178475373519","22.24","341.946135906209","342.183774708204","339.934197974002","342.31190668671","-167.68735366739","-166.604082476053","-166.681384701287","-166.668148465306","137.62098070756","-0.3045963882092","141.292563407942","-0.438690883649803","0.000558176982826416","up","141.038527336176","0.00308554645370191","141.471824573438","0.00348105496220756","11.0390658399196","5.72429540791161e-23","1.01135085187633e-22"
"6","./trace trials/CR/Boccia161.1","aquaticus","64","8","0.594908997212219","0.782213728269721","107.41","99.7116138292561","22.59","49.7944334266146","54.1629862548581","49.5871884485604","54.5980425049516","-18.8972167133073","-16.4148264607624","-18.7935942242802","-16.6323545858091","117.514110084873","-0.278164003994007","122.704549512087","-0.867704319006712","0.0127217897994037","up","117.764377198597","0.00254817557074559","123.388235862033","0.0754772307030207","107.114202878726","0.0250088021110709","0.0226936805698802"
"7","./trace trials/CR/BOCCIA161.2","aquaticus","173","34","0.86878529433399","0.878953039595251","107.598","92.0475790779147","22.57","209.306662655686","209.14365596917","207.45966024742","209.635188850697","-101.253331327843","-99.8821728121714","-100.32983012371","-100.127939252935","142.271848293546","-0.290313694888042","145.312162332251","-0.40810518520359","0.000735433550035265","up","143.903683762672","0.00245886605018043","145.038761770488","0.00425202380791603","50.1459148903266","1.15432224171984e-15","2.36209629563936e-15"
"8","./trace trials/CR/BOCCIA161.3","aquaticus","74","8","0.354519741121501","0.370530077623652","111.518","112.472842466142","22.59","59.8444866493635","68.9768875429027","59.8804826701962","NULL","-23.9222433246818","-23.8217771047847","-23.9402413350981","NULL","128.368924746416","-0.214811922706409","125.459756040281","-0.0392450452832277","-0.00216548348705655","down","128.563049120017","0.00177985126751549","NULL","NULL","NULL","0.119391089535121","0.125301684939966"
"9","./trace trials/CR/BOCCIA161.4","aquaticus","134","10","0.955694452306983","0.95697100490943","84.165","82.5446680567139","22.6","59.2268763023616","64.9345192381936","58.9406402076926","64.912772679697","-24.6134381511808","-24.4672596190968","-24.4703201038463","-24.4563863398485","133.517239866555","-0.380392326939116","135.351304757988","-0.449433085378098","0.000491101482017872","up","136.187900477175","0.00357042827058023","135.575475820356","0.00275823175451861","-31.4077200381814","1.07284255667323e-06","9.67694678589796e-07"
"10","./trace trials/CR/BOCCIA161.5","aquaticus","102","27","0.481133219712369","0.504448990841083","121.562","110.628634292945","22.61","189.439387657313","190.972715682952","189.690464895557","NULL","-91.1979546982217","-90.5772669323851","-91.3234933173438","NULL","147.562917639524","-0.362100817123324","143.697209734208","-0.0374091684932825","-0.00474324717043193","down","147.826744954466","0.00265232264272846","NULL","NULL","NULL","6.02166282833591e-05","7.15404155932562e-05"
