mass,nmol,src,indv,species,w_temp,mass2,sex,svl,est_lung_v,r,tempk,pres_conv,lung_conv,mol_rate,nmol_l,cham_upr_nmol,gecko_upr_nmol,tubin_lwr_nmol
3.6,45.31897468,boccia,ANOX5,oxylophus,25.83,3.6,F,54,0.6912,8314.5,298.98,-0.001823351,0.0006912,-4.53E-08,-45.31897468,273.3300661,72.93522488,45.31897468
3.6,46.07946322,boccia,ANOX5,oxylophus,25.86,3.6,F,54,0.6912,8314.5,299.01,-0.001853763,0.0006912,-4.61E-08,-46.07946322,277.9167626,74.15913612,46.07946322
3.6,84.44036773,boccia,ANOX5,oxylophus,26.41,3.6,F,54,0.6912,8314.5,299.56,-0.003390773,0.0006912,-8.44E-08,-84.44036773,509.2809679,135.8962168,84.44036773
3.6,65.71866682,boccia,ANOX5,oxylophus,26.47,3.6,F,54,0.6912,8314.5,299.62,-0.002638459,0.0006912,-6.57E-08,-65.71866682,396.3657093,105.7659794,65.71866682
3.6,92.51217918,boccia,ANOX5,oxylophus,26.47,3.6,F,54,0.6912,8314.5,299.62,-0.003714159,0.0006912,-9.25E-08,-92.51217918,557.9640807,148.8867884,92.51217918
7.8,128.9124437,boccia,ANOX6,oxylophus,26.42,7.8,M,68,1.4976,8314.5,299.57,-0.002389114,0.0014976,-1.29E-07,-128.9124437,777.5031758,207.468464,128.9124437
7.8,262.2553141,boccia,ANOX6,oxylophus,26.63,7.8,M,68,1.4976,8314.5,299.78,-0.004856931,0.0014976,-2.62E-07,-262.2553141,1581.727363,422.0671461,262.2553141
2.958,66.79391411,boccia,BILS KT 04,lynchi,24.38,2.958,F,53.48,0.567936,8314.5,297.53,-0.00328657,0.000567936,-6.68E-08,-66.79391411,402.8507945,107.4964555,66.79391411
2.958,68.34010924,boccia,BILS KT 04,lynchi,24.68,2.958,F,53.48,0.567936,8314.5,297.83,-0.003359263,0.000567936,-6.83E-08,-68.34010924,412.1762838,109.9848633,68.34010924
2.958,76.38526697,boccia,BILS KT 04,lynchi,24.36,2.958,F,53.48,0.567936,8314.5,297.51,-0.003758762,0.000567936,-7.64E-08,-76.38526697,460.6986414,122.932539,76.38526697
0.47,0.001984127,seymour,ind_1,riolus_cupreus,,,,,,,,,,,,,,
1,0.005208333,seymour,ind_2,elmis_maugei,,,,,,,,,,,,,,
3.36,0.015414187,seymour,ind_3,phytobius_velatus,,,,,,,,,,,,,,
12,0.029761905,seymour,ind_4,macroplea_mutica,,,,,,,,,,,,,,
12.7,0.059895833,seymour,ind_5,macroplea_mutica,,,,,,,,,,,,,,
27.2,0.434,seymour,ind_6,agraptocorixa_eurynome,,,,,,,,,,,,,,
40,0.074404762,seymour,ind_7,aphelocheirus_aestivalis,,,,,,,,,,,,,,
2233,63.80285049,seymour,ind_8,dytiscus_marginalis,,,,,,,,,,,,,,
2765,42.58696684,seymour,ind_9,hydrous_piceus,,,,,,,,,,,,,,
